0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,31.12.2021,,,,,VARIAZIONE,,,,,,
(migliaia di euro),otsoC,,eN.vS,"ot.mmA
odnoF","otteN
erolaV",,.tsevnI,it.mmA,"inoizairaV
ertlA",otsoC,en.vS,"ot.mmA
odnoF","otteN
eorlaV"
DIRITTI CONCESSORI,,,,,,,,,,,,,
"Concessione aeroportuale
– diritti acquisti",2.167.966,,0,(1.053.374),1.114.592,,0,(45.477),0,2.167.966,0,(1.098.851),1.069.115
"Concessione aeroportuale
– investimenti su infrastrutture",1.691.608,,0,(332.661),1.358.947,,144.091,(45.743),(15.928),1.819.764,0,(378.397),1.441.367
TOTALE DIRITTI CONCESSORI,3.859.574,,0,(1.386.035),2.473.539,,144.091,(91.220),(15.928),3.987.730,0,(1.477.248),2.510.482
Altre attività immateriali,106.338,,(41),(78.254),28.043,,15.651,(9.255),(13),121.976,(41),(87.509),34.426
Anticipi a fornitori,725,,0,0,725,,825,0,(128),1.422,0,0,1.422
Diritto d’uso: altre imm. immat.,521,,0,(108),413,,0,(131),0,521,,(239),282
"TOTALE ALTRE ATTIVITÀ
IMMATERIALI",107.584,,(41),(78.362),29.181,,16.476,(9.386),(141),123.919,(41),(87.748),36.130
"TOTALE ATTIVITÀ
IMMATERIALI",3.967.158,,(41),(1.464.397),2.502.720,,160.567,(100.606),(16.069),4.111.649,(41),(1.564.996),2.546.612
