0,1,2,3,4,5,6
,31.12.2021,,VARIAZIONE,,,
(migliaia di euro),,Accantonamenti,,Rilasci,"Imposte Antic./
Diff. su Proventi/
Oneri rilevati nel
PN",
IMPOSTE ANTICIPATE,,,,,,
"Accantonamenti (utilizzi) del fondo rinnovo
infrastrutture aeroportuali",32.872,3.355,,(2.824),0,33.403
"Accantonamenti a fondo svalutazione
magazzino",41,12,,0,0,53
"Accantonamenti a fondo svalutazione
crediti",39.235,5,,(526),0,38.714
Costo ammortizzato e strumenti derivati,24.182,0,,(25),(25.778),(1.621)
Fondi rischi e oneri,5.367,688,,(1.162),0,4.893
Perdite fiscali e ACE,31.875,791,,(24.840),0,7.826
Altre,1.315,506,,(561),(390),870
Totale Imposte Anticipate,134.887,5.357,,(29.938),(26.168),84.138
IMPOSTE DIFFERITE COMPENSABILI,,,,,,
Applicazione IFRIC 12,43.939,1.092,,(1.145),0,43.886
Altre,497,0,,(20),0,477
Totale Imposte Differite,44.436,1.092,,(1.165),0,44.363
TOTALE IMPOSTE ANTICIPATE NETTE,90.451,4.265,,(28.773),(26.168),39.775
