0,1,2,3,4,5,6,7
,,,,,3311..1122..22002222,31.12.2021,
Capitale sociale,,,,,62.225,62.225,0
Riserva legale,,,,,12.462,12.462,0
Riserva sovrapprezzo azioni,,,,,667.389,667.389,0
Riserva da valutazione strumenti finanziari derivati di cash flow hedge,,,,,5.143,(76.487),81.630
Riserva valutazione partecipazioni con il metodo del patrimonio netto,,,,,204,230,(26)
Riserva da utili (perdite) da valutazione al fair value di partecipazioni,,,,,(40.611),(40.611),0
Altre riserve e utili portati a nuovo,,,,,344.306,379.798,(35.492)
Utile (perdita) dell’esercizio,,,,,45.059,(38.035),83.094
Totale Patrimonio Netto di Pertinenza del Gruppo,,,,,1.096.177,966.971,129.206
Capitale Sociale e Riserve,,,,,0,2.718,(2.718)
Utile (perdita) dell’esercizio,,,,,0,77,(77)
Patrimonio Netto di Pertinenza di Terzi,,,,,0,2.795,(2.795)
TOTALE PATRIMONIO NETTO,,,,,1.096.177,969.776,126.411
