0,1,2
"Oneri finanziari da attualizzazione del fondo
rinnovo infrastrutture aeroportuali",1.223,(19)
Interessi su prestiti obbligazionari,35.243,34.407
Interessi su finanziamenti a medio-lungo termine,8.924,8.761
Effetti dell’applicazione del metodo del costo ammortizzato,8.171,7.761
Altri oneri finanziari per interessi,161,316
Totale oneri finanziari per interessi,52.499,51.245
Valutazione derivati,13.458,0
Differenziali,14.021,11.601
Totale oneri su derivati,27.479,11.601
Oneri finanziari da attualizzazione benefici per i dipendenti,423,62
Altri oneri,35,34
Totale altri oneri,458,96
TOTALE ONERI FINANZIARI,81.659,62.923
