0,1,2,3,4,5,6,7,8,9,10
,,,,,,,"erolaV
odrol","-umuC
.lavS etal",,"erolaV
otten"
IMPRESE CONTROLLATE,,,,,,,,,,
ADR Assistance S.r.l.,4.000,0,4.000,0,0,0,4.000,0,,4.000
ADR Tel S.p.A,594,0,594,0,0,0,594,0,,594
ADR Mobility S.r.l.,1.756,0,1.756,0,0,0,1.756,0,,1.756
ADR Security S.r.l.,500,0,500,0,0,0,500,0,,500
Airport Cleaning S.r.l.,2.000,0,2.000,0,0,0,2.000,0,,2.000
ADR Ingegneria S.p.A.,1.500,0,1.500,0,0,0,1.500,0,,1.500
ADR Infrastrutture S.p.A.,12.200,0,12.200,0,0,0,12.200,0,,12.200
Fiumicino Energia S.r.l.,10.456,0,10.456,1.485,0,0,11.941,0,,11.941
"Leonardo Energia - Società
Consortile a r.l.",1,0,1,0,0,0,1,0,,1
TOTALE IMPRESE CONTROLLATE,33.007,0,33.007,1.485,0,0,34.492,0,,34.492
IMPRESE COLLEGATE,,,,,,,,,,
Spea Engineering S.p.A.,14.324,(7.624),6.700,0,0,(1.156),14.324,(8.780),,5.544
"Ligabue Gate Gourmet Roma S.p.A. in
fallimento",3.883,(3.883),0,0,0,0,3.883,(3.883),,0
TOTALE IMPRESE COLLEGATE,18.207,(11.507),6.700,0,0,(1.156),18.207,(12.663),,5.544
JOINT VENTURE,,,,,,,,,,
UrbanV S.p.A.,0,0,0,975,(75),0,900,0,,900
TOTALE JOINT VENTURE,0,0,0,975,(75),0,900,0,,900
ALTRE IMPRESE,,,,,,,,,,
Azzurra Aeroporti S.p.A.,52.000,(39.457),12.543,0,0,0,52.000,(39.457),,12.543
Aeroporto di Genova S.p.A.,1.394,(697),697,0,0,0,1.394,(697),,697
S.A.CAL. S.p.A.,1.307,(1.307),0,0,0,0,1.307,(1.307),,0
"Consorzio Autostrade Italiane
Energia",1,0,1,0,0,0,1,0,,1
Convention Bureau Roma e Lazio Scrl,1,0,1,0,0,0,1,0,,1
TOTALE ALTRE IMPRESE,54.703,(41.461),13.242,0,0,0,54.703,(41.461),,13.242
TOTALE PARTECIPAZIONI,105.917,(52.968),52.949,2.460,(75),(1.156),108.302,(54.124),,54.178
