0,1,2,3,4,5,6,7,8,9
IMPRESE CONTROLLATE,,,,,,,,,
,,,,,,,,,
ADR Assistance S.r.l.,"Fiumicino
(Roma)",euro,1,4.000.000,1,100%,10.826,2.256,4.000
ADR Tel S.p.A,"Fiumicino
(Roma)",euro,600.000,600.000,600.000,99%,15.621,2.333,594
ADR Mobility S.r.l.,"Fiumicino
(Roma)",euro,1,1.500.000,1,100%,16.242,2.205,1.756
ADR Security S.r.l.,"Fiumicino
(Roma)",euro,1,400.000,1,100%,4.352,2.640,500
Airport Cleaning S.r.l.,"Fiumicino
(Roma)",euro,1,1.500.000,1,100%,5.551,422,2.000
ADR Ingegneria S.p.A.,"Fiumicino
(Roma)",euro,1,500.000,1,100%,3.764,943,1.500
ADR Infrastrutture S.p.A.,"Fiumicino
(Roma)",euro,1,5.050.000,1,100%,14.863,514,12.200
Fiumicino Energia S.r.l.,"Fiumicino
(Roma)",euro,1,741.795,,100%,12.787,512,11.941
"Leonardo Energia - Società
Consortile ar.l.","Fiumicino
(Roma)",euro,1,10.000,1,10%1,268,0,1
TOTALE IMPRESE CONTROLLATE,,,,,,,,,34.492
IMPRESE COLLEGATE,,,,,,,,,
"Ligabue Gate Gourmet Roma S.p.A. in
fallimento","Tessera
(Venezia)",euro,20.000,103.200,4.000,20%,0,0,0
Spea Engineering S.p.A.,Milano,euro,1.350.000,6.966.000,270.000,20%,33.809,(6.820),5.544
TOTALE IMPRESE COLLEGATE,,,,,,,,,5.544
JOINT VENTURE,,,,,,,,,
UrbanV S.p.A.,"Fiumicino
(Roma)",euro,50.000,50.000,30.000,60%,1.074,(426),900
TOTALE JOINT VENTURE,,,,,,,1.074,(426),900
ALTRE IMPRESE,,,,,,,,,
Azzurra Aeroporti S.p.A.,Roma,euro,3.783.734,3.221.234,250.000,"7,77%",171.325,(7.415),12.543
Aeroporto di Genova S.p.A.,"Genova
Sestri",euro,15.000,7.746.900,2.250,15%,6.457,872,697
S.A.CAL. S.p.A.,"Lamezia
Terme
(Catanzaro)",euro,46.268,23.920.556,2.485,"5,37%",13.144,(838),0
"Consorzio Autostrade Italiane
Energia",Roma,Euro,1,114.864,1,"1,08%",,,1
Convention Bureau Roma e Lazio Scrl,Roma,euro,133,133.000,,"1 quota
(euro 1.000)",,,1
TOTALE ALTRE IMPRESE,,,,,,,,,13.242
TOTALE PARTECIPAZIONI,,,,,,,,,54.178
