0,1,2,3,4,5,6,7,8
,Attività,Passività,Ricavi,Costi,Attività Passività Ricavi Costi,,,
IMPRESE CONTROLLANTI,,,,,,,,
Atlantia S.p.A.,26.689,621,94,(783),75.722,185,241,(730)
"TOTALE RAPPORTI CON IMPRESE
CONTROLLANTI",26.689,621,94,(783),75.722,185,241,(730)
IMPRESE CONTROLLATE,,,,,,,,
ADR Assistance S.r.l.,1.257,4.099,2.142,(23.561),648,3.486,1.553,(16.454)
ADR Tel S.p.A.,3.155,6.715,1.339,(29.784),470,7.360,1.114,(29.358)
ADR Mobility S.r.l.,5.016,355,25.210,(2.211),3.077,696,15.094,(2.312)
ADR Security S.r.l.,1.733,11.618,4.014,(53.999),1.116,9.502,3.197,(37.594)
Airport Cleaning S.r.l.,1.612,4.106,3.289,(22.815),1.001,3.385,2.350,(16.172)
ADR Ingegneria S.p.A.,977,10.632,1.154,(13.246),887,8.494,723,(11.039)
ADR Infrastrutture S.p.A.,1.608,62.310,607,(110.128),182,25.632,156,(69.204)
Leonardo Energia S.c.ar.l. (*),1.058,9.520,168,(28.380),10,4.136,75,(10.030)
Fiumicino Energia S.r.l. (*),112,45,288,(25),32,30,84,(30)
"TOTALE RAPPORTI CON IMPRESE
CONTROLLATE",16.528,109.400,38.211,(284.149),7.423,62.721,24.346,(192.193)
IMPRESE COLLEGATE,,,,,,,,
Ligabue Gate Gourmet S.p.A. in fall.,482,968,0,0,482,968,0,0
Spea Engineering S.p.A.,74,1.157,133,0,74,1.443,43,(1.499)
"TOTALE RAPPORTI CON IMPRESE
COLLEGATE",556,2.125,133,0,556,2.411,43,(1.499)
JOINT VENTURE,,,,,,,,
Urban V S.p.A.,11,64,11,(41),0,0,0,0
TOTALE RAPPORTI CON JOINT VENTURE,11,64,11,(41),0,0,0,0
PARTI CORRELATE,,,,,,,,
Leonardo Energia S.c.ar.l. (*),0,0,0,0,0,0,79,(6.781)
Fiumicino Energia S.r.l. (*),0,0,0,0,0,0,93,0
Autostrade per l’Italia S.p.A. (**),0,0,0,0,7,2,41,(88)
Autogrill Italia S.p.A.,6.524,74,13.762,(129),1.509,85,3.614,(154)
Autostrade Tech S.p.A. (**),0,0,0,0,0,23,0,0
Consorzio Autostrade Italiane Energia,0,0,0,(71),0,0,0,(25)
Retail Italia Network S.r.l.,100,0,242,0,37,0,129,0
Telepass S.p.A.,51,0,0,0,51,0,0,0
Essediesse S.p.A. (**),0,0,0,0,10,0,8,0
K-Master S.r.l.,0,167,0,(7),0,0,0,0
Maccarese S.p.A. Società Agricola,0,0,0,0,0,0,0,(8)
"Aeroporto Guglielmo Marconi di Bologna
S.p.A.",4,0,22,0,8,0,28,0
AD Moving S.p.A. (**),0,0,0,0,0,0,0,(10)
"Amplia Infrastructures S.p.A. (già
Pavimental S.p.A.) (**)",0,0,0,0,217,63,4,(26)
PTSCLAS S.p.A.,0,15,0,(15),0,0,0,(2)
Key Management Personnel,0,1.316,0,(2.486),0,483,0,(1.530)
TOTALE RAPPORTI CON PARTI CORRELATE,6.679,1.572,14.026,(2.708),1.839,656,3.996,(8.624)
TOTALE,50.463,113.782,52.475,(287.681),85.540,65.973,28.626,(203.046)
