0,1,2,3
Passività finanziarie non correnti,1.892.036,2.261.910,(369.874)
Prestiti obbligazionari,1.273.005,1.521.416,(248.411)
Finanziamenti a medio-lungo termine,617.214,656.360,(39.146)
Strumenti finanziari – derivati,0,81.230,(81.230)
Altre passività finanziarie non correnti,1.817,2.904,(1.087)
Altre attività finanziarie non correnti,(17.429),(718),(16.711)
INDEBITAMENTO FINANZIARIO NETTO NON CORRENTE,1.874.607,2.261.192,(386.585)
Passività finanziarie correnti,382.674,76.375,306.299
Quota corrente di passività finanziarie a medio-lungo termine,298.764,37.903,260.861
Strumenti finanziari derivati,83.910,38.472,45.438
Attività finanziarie correnti,(1.082.875),(665.316),(417.559)
Disponibilità liquide e mezzi equivalenti,(1.024.985),(661.640),(363.345)
Altre attività finanziarie correnti,(57.890),(3.676),(54.214)
INDEBITAMENTO FINANZIARIO NETTO CORRENTE,(700.201),(588.941),(111.260)
INDEBITAMENTO FINANZIARIO NETTO,1.174.406,1.672.251,(497.845)
