0,1
,"- Costi per rinnovi infrastrutture aeroportuali (vedi Nota 7.3 delle Note illu-
strative)"
,"+ Costo per godimento beni di terzi (desumibile dai prospetti contabili con-
solidati)"
,+ Altri costi (desumibile dai prospetti contabili consolidati)
,"- Accantonamenti per svalutazione crediti (vedi Nota 7.5 delle Note illustra-
tive)"
Costi totali dei servizi di costruzione,"+ Costi servizi di costruzione (vedi Nota 7.3 delle Note illustrative)
+ Costo del personale dedicato ai servizi di costruzione (vedi Nota 7.4 delle
Note illustrative)"
Canoni concessori,desumibile dai prospetti contabili consolidati
Costo del personale netto,"+ Costo per il personale (desumibile dai prospetti contabili consolidati)
- Costo del personale dedicato ai servizi di costruzione (vedi Nota 7.4 delle
Note illustrative)
- Costo del personale dedicato agli interventi di rinnovo infrastrutture aero-
portuali (vedi Nota 7.4 delle Note illustrative)"
(Accantonamenti) riassorbimenti fondi per rischi ed oneri,desumibile dai prospetti contabili consolidati
TOTALE COSTI OPERATIVI NETTI,
MARGINE OPERATIVO LORDO (EBITDA),
Ammortamenti,desumibile dai prospetti contabili consolidati
Accantonamenti per rinnovi e altri stanziamenti rettificativi,Sono così calcolati
,"+ Accantonamenti per svalutazione crediti (vedi Nota 7.5 delle Note illustra-
tive)"
,"+ Accantonamenti (Utilizzi) dei fondi per rinnovo infrastrutture aeroportuali
(desumibile dai prospetti contabili consolidati)"
,"- utilizzi operativi Fondo rinnovo infrastrutture aeroportuali (vedi Nota 6.13
delle Note illustrative)"
RISULTATO OPERATIVO (EBIT),
Proventi (oneri) finanziari,desumibile dai prospetti contabili consolidati
"Quota dell’utile (perdita) di partecipazioni collegate contabilizzate in
base al metodo del patrimonio netto",desumibile dai prospetti contabili consolidati
"RISULTATO PRIMA DELLE IMPOSTE DELLE ATTIVITÀ OPERATIVE
IN FUNZIONAMENTO",desumibile dai prospetti contabili consolidati
Imposte,desumibile dai prospetti contabili consolidati
RISULTATO NETTO ATTIVITÀ OPERATIVE IN FUNZIONAMENTO,desumibile dai prospetti contabili consolidati
Risultato netto attività operative cessate,desumibile dai prospetti contabili consolidati
UTILE (PERDITA) DELL’ESERCIZIO,desumibile dai prospetti contabili consolidati
Utile (perdita) dell’esercizio di competenza di terzi azionisti,desumibile dai prospetti contabili consolidati
UTILE (PERDITA) DELL’ESERCIZIO DI COMPETENZA DEL GRUPPO,desumibile dai prospetti contabili consolidati
