0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,(€/000),%,%,%,%,%,%,%,S/N,S/N,S/N,S/N,S/N,S/N,S/N,%,%,A,T
A. ATTIVITÀ AMMISSIBILI ALLA TASSONOMIA,,,,,,,,,,,,,,,,,,,,
A.1. Attività ecosostenibili (allineate alla Tassonomia),,,,,,,,,,,,,,,,,,,,
Trasmissione e distribuzione di energia elettrica,4.9,725,"0,1%",100%,0%,n/a,n/a,n/a,n/a,,S,,S,S,S,S,"0,1%",n/a,A,
"Distribuzione del teleriscaldamento/
teleraffrescamento",4.15,2.535,"0,4%",100%,0%,n/a,n/a,n/a,n/a,,S,S,,S,S,S,"0,4%",n/a,,
"Raccolta e trasporto di rifiuti non pericolosi in
frazioni separate alla fonte",5.5,1.564,"0,2%",100%,0%,n/a,n/a,n/a,n/a,,S,,S,,,S,"0,2%",n/a,,
"Trasporto urbano e suburbano, trasporto di
passeggeri su strada",6.3,110,0%,100%,0%,n/a,n/a,n/a,n/a,,S,,S,S,,S,0%,n/a,,T
"Infrastrutture che consentono il trasporto su strada e
il trasporto pubblico a basse emissioni di carbonio",6.15,2.459,"0,4%",100%,0%,n/a,n/a,n/a,n/a,,S,S,S,S,S,S,"0,4%",n/a,A,
"Infrastrutture aeroportuali a basse emissioni di
carbonio",6.17,2.920,"0,4%",100%,0%,n/a,n/a,n/a,n/a,,S,S,S,S,S,S,"0,4%",n/a,A,
Acquisto e proprietà di edifici,7.7,460.466,"69,4%",100%,0%,n/a,n/a,n/a,n/a,,S,,,,,S,"69,4%",n/a,,
"Fatturato delle attività economiche ecosostenibili
(allineate alla Tassonomia) (A.1)",,470.779,"70,9%",100%,0%,,,,,,,,,,,,"70,9%",,,
"A.2 Attività ammisibili alla Tassonomia ma
non ecosostenibili (attività non allineate alla
Tassonomia)",,,,,,,,,,,,,,,,,,,,
"Costruzione, espansione e gestione di sistemi di
raccolta, trattamento e fornitura di acqua",5.1,356,"0,1%",,,,,,,,,,,,,,,,,
"Costruzione, espansione e gestione di sistemi di
raccolta e trattamento delle acque reflue",5.3,366,"0,1%",,,,,,,,,,,,,,,,,
"Infrastrutture aeroportuali a basse emissioni di
carbonio",6.17,1.511,"0,2%",,,,,,,,,,,,,,,,,
Acquisto e proprietà di edifici,7.7,39.888,6%,,,,,,,,,,,,,,,,,
"Fatturato delle attività ammissibili alla
Tassonomia ma non ecosostenibili (attività non
allineate alla Tassonomia) (A.2)",,42.122,"6,3%",,,,,,,,,,,,,,,,,
"Fatturato totale delle attività ammissibili alla
Tassonomia (A.1 + A.2)",,512.901,"77,3%",,,,,,,,,,,,,,"70,9%",,,
"B. ATTIVITÀ NON AMMISSIBILI ALLA
TASSONOMIA",,,,,,,,,,,,,,,,,,,,
"Fatturato delle attività economiche non
ammissibili alla Tassonomia",,150.845,"22,7%",,,,,,,,,,,,,,,,,
TOTALE (A + B),,663.746,100%,,,,,,,,,,,,,,,,,
