0,1,2,3,4,5
Gestione rifiuti,"Gruppo ADR
Comunità e
ambiente","Diretto
Legato alle
relazioni di
business",Rifiuti,"306-1
306-2
306-3",Riduzione della produzione dei rifiuti.
"Formazione
personale",Gruppo ADR,Diretto,Formazione e istruzione,404-1,"Creazione di un ambiente di lavoro
stimolante, che offra opportunità
di crescita ai dipendenti attraverso
programmi di formazione e di sviluppo
delle competenze."
Climate change,"Gruppo ADR
Stakeholder
del Gruppo e
Sistema Paese
Comunità e
ambiente","Diretto
Legato alle
relazioni di
business",Emissioni,"305-1
305-2
305-3","Emissioni di gas a effetto serra che
contribuiscono al cambiamento
climatico, soprattutto a causa del
consumo di energia da fonti non
rinnovabili e/o delle emissioni dirette
delle attività produttive/logistiche."
"Efficienza
energetica","Gruppo ADR
Stakeholder
del Gruppo e
Sistema Paese
Istituzioni
Comunità e
ambiente","Diretto
Legato alle
relazioni di
business",Energia,302-1,"Riduzione dei consumi energetici
attraverso l’implementazione di azioni
di efficientamento nella gestione degli
edifici e nelle operazioni aeroportuali"
"Idee ed
Innovazione","Gruppo ADR
Clienti
Sistema Paese","Diretto
Legato alle rela-
zioni di business",n.a.,n.a.,"Supporto alla crescita dell’ecosistema
locale, regionale e nazionale d’inno-
vazione, oltre che all’innovazione nel
settore del trasporto aereo"
Consumi idrici,"Gruppo ADR
Comunità e
ambiente","Diretto
Legato alle
relazioni di
business",Acqua,"303-1
303-2
303-","Circolarità dell’utilizzo delle risorse
idriche. Attraverso un sistema duale,
gran parte dell’acqua utilizzata è acqua
industriale, producendo un grande
risparmio di acqua potabile."
"Sviluppo
infrastrutture
sostenibili","Gruppo ADR
Investitori,
comunità
finanziaria e
Istituzioni","Diretto
Legato alle
relazioni di
business",n.a.,n.a.,"Creazione e sviluppo di infrastrutture
sostenibili e resilienti, in grado di
effettuare un contributo sostanziale
alla mitigazione e all’adattamento ai
cambiamenti climatici"
"Economia
circolare","Gruppo ADR
Comunità e
ambiente","Diretto
Legato alle
relazioni di
business",Rifiuti,"306-1
306-2
306-3","Aumento della frazione di rifiuti avviata
a recupero."
"Condizioni
contrattuali","Gruppo ADR
Clienti","Diretto
Legato alle
relazioni di
business","Valutazione ambientale dei fornitori
Valutazione dei fornitori su tematiche
sociali","308-1
414-1","Engagement attivo con tutti gli
stakeholder affinché le condizioni
contrattuali, che integrano criteri ESG,
vengano rispettate."
"Emissioni
aeroportuali","Gruppo ADR
Comunità e
ambiente","Diretto
Legato alle
relazioni di
business",Emissioni,"305-1
305-2","Riduzione delle emissioni aeroportuali
attraverso engagement attivo con gli
stakeholder aviation ed altri partner
industriali per rendere disponibili negli
scali carburanti sostenibili."
"Ecosistema
biodiversità","Gruppo ADR
Comunità e
ambiente","Diretto
Legato alle
relazioni di
business",Biodiversità,304,"Sviluppo di infrastrutture sostenibili
assicurando la protezione e lo sviluppo
degli ecosistemi limitrofi all’aeroporto"
"Gestione
responsabile
catena di
fornitura","Gruppo ADR
Catena di
fornitura","Gruppo ADR
Catena di
fornitura","Pratiche di approvvigionamento
Valutazione ambientale dei fornitori","204-1
308-1","Integrazione di criteri di sostenibilità
e ESG nei confronti dei partner e
dell’intera supply chain nella fase di
selezione dei partner."
"Pari opportunità
e diversity","Gruppo ADR
Comunità e
ambiente",Diretto,Diversità e pari opportunità,405-1,"Promozione di un luogo di lavoro
inclusivo e che garantisca pari
opportunità a tutti i dipendenti, senza
discriminazione alcuna."
"Anticorruzione
e conflitto di
interessi","Gruppo ADR
Investitori,
comunità
finanziaria e
Istituzioni","Diretto
Legato alle
relazioni di
business",Anticorruzione,205-2,"Creazione di una cultura che prevenga
gli impatti reputazionale, legale
ed economico della corruzione, dei
comportamenti anticoncorrenziali o
di altri tipi di condotta commerciale
illecita all’interno delle operazioni
aeroportuali e lungo la catena di
fornitura."
