,,,,,
Situazione inanziaria,patr cons,imo solid,niale data,,
Attività (migliaia di euro),NOTE,31.12.2022,di cui correlate,31.12.2021,di cui correlate
ATTIVITÀ NON CORRENTI,,,,,
Attività materiali,52.687,50.898,,,
Diritti concessori,2.510.482,2.473.539,,,
Altre attività immateriali,36.130,29.181,,,
Attività immateriali,2.546.612,2.502.720,,,
Partecipazioni,19.430,19.954,,,
Altre attività finanziarie non correnti,17.429,718,,,
Attività oerimposte cipate anti,"39,775",90 451,,,
Altre attività non correnti,461,470,,,
Totale attività non correnti,2.676.394,2.665.211,,,
ATTIVITÀ CORRENTI,,,,,
Rimanenze,5.801,6.500,,,
Attività per lavori in corso su ordinazione,322,1.105,,,
Crediti commerciali,207.945,7.059,184.597,2.195,
Attività commerciali,214.068,7.059,192.202,2.195,
Altre attività finanziarie correnti,57.890,1.350,3.676,1.35C,
Attività per imposte correnti,23.061,22.981,73.735,73.58C,
Altre attività correnti,36.658,560,265.341,49,
Disponibilità liquide e mezzi equivalenti,6.10,1.024.985,661.640,,
Totale attività correnti,1.356.662,31.950,1.196.594,77.616,
TOTALE ATTIVITÀ,4 033 056,31 950,3 861 805,77616,
