,,,,,
Relazione sulla gestione Bilancio consol,olidato,Bilancio di Eserciz,icio di Esercizio,Delibera dell,['Assemble
Patrimonio netto e passività (mialiaia di euro),NOTE,31.12.2022 di cui correla,22 di cui correlate,31.12.2021,li cui correlate
Facrionloneeco epasstvica (Inigllala @l PATRIMONIO NETTO,NUIE,955d UGue lGld,UGue lu 3lcec,9n122u2|,I Cul Cortelage
PATRIMONIO NETTO DI PERTINENZA DEL GRUPPO,,,,,
canitale cociale,32 22,225,225,,
Riserve e utili portati a nuovo,988.893,893,942.781,,
Utile Inerdita) dell'esercizio,45 059,059,(38 035),,
1 096,966 971,,,,
PATRIMONIO NET To PERTINEN,,,,,
Capitale sociale e riserve,2 718,,,,
Utile (nerdita) dell'esercizi,,,,,
Utlle (peraita) aelt esercizlo,,,,,
2.(95,,,,,
Paci DAcciui,,,,,
FASSIVITA DacaiuirÀ FLoAccd,,,,,
PASSIVITA NON CORRENTI,,,,,
Fondi per benefici per dipendenti,6.12,12.018,018,14.210,
Fondo rinnovo infrastrutture aeroportuali,6.13,157.430,430,161.733,
Altri fondi per rischi ed oneri,6.14,16.481,481,19.689,
Fondi per accantonamenti non correnti,185.929,929,195.632,,
Prestiti obbligazionari,1.273.005,005,1.521.416,,
Prestiti obbligazionari,1.273.005,005,1.521.416,,
Finanziamenti a medio-lungo termine,617.214,.214,656.360,,
Finanziamenti a medio - -lungo termine,617.214,.214,656.360,,
Strumenti finanziari derivati,81.230,,,,
Strumenti finanziari derivati,81.230,,,,
Altre passività finanziarie,1.817,1.817 155,2.904,28,
Alcre passlvita Tinanzlarle,1.81,81 155,2.904,,
Passività finanziarie non correnti,6.15,1.892.036,036 155,2.261.910,28
Altre passività non correnti,6.16,2.951,951 358,986,
Totale passività non correnti,2.080.916,916 513,2.458.528,28,
PASSIVITÀ CORRENTI,,,,,
PASSIVITA CORRENTI,,,,,
Fondi per benefici per dipendenti,6.12,1.501,501,975,
Fondo rinnovo infrastrutture aeroportuali,6.13,76.548,548,55.138,
Altri fondi per rischi ed oneri,6.14,5.998,998,4.923,
Fondi per accantonamenti correnti,84.047,047,61.036,,
Debiti commerciali,6.17,188.923,923 3.165,140.513,5.27
Passività commerciali,188.923,923 3.165,140.513,5.27,
Quota corrente passività finanziarie a medio-lungo termine,298.764,764 131,37.903,12,
Strumenti finanziari derivati,83.910,910,38.472,,
Passività finanziarie correnti,6.15,382.674,674 131,76.375,12
Passività per imposte correnti,13.486,486,7.521,,
Altre passività correnti,6.18,186.833,833 959,148.066,48
Totale passività correnti,855.963,963 4.255,433.511,5.88,
TOTALE PASSIVITÀ E PATRIMONIO NETTO,4.033.056,056 4.768,3.861.805,6.17,
