,,,
Rendiconto finanzis ess,ario,,
consolldato,,,
(migliaia di euro),2022,202-,2021
Utile (perdita) dell'esercizio,45.059,59,(37.958)
Rettificato da:,,,
Ammortamenti,111.643,543,105.463
Accantonamenti al fondo rinnovo infrastrutture aeroportuali,56.964,964,64.66
Oneri finanziari da attualizzazione fondi,1.646,546,
Variazione altri fondi,(2.598),98),(4.731)
Quota dell'utile (perdita) di partecipazioni collegate contabilizzate in base al metodo del patrimonio netto,1.398,398,1.38
Variazione netta delle (attività) passività per imposte (anticipate) differite,24.508,08,(12.552)
Altri costi (ricavi) non monetari,13.586,586,11.798
Variazioni del capitale circolante e altre variazioni,352.598,598,(214.056)
Variazioni del capitale circolante altre varlazioni,352.598,98,(214.056)
Investimenti in attività materiali,(13.704),04),(12.418)
Investimenti in attività materiali,(13.704),04),(12.418)
Investimenti in attività immateriali,(160.567),67),(117.688)
Investimenti in attività immateriali,(160.567),67),(117.688
Interventi di rinnovo infrastrutture aeroportuali,(41.080),80),(47.576)
Interventi di rinnovo infrastrutture aeroportuali,(41.080),80),(47.576
Investimenti in partecipazioni e in quote di minoranza di società consolidate,(2.386),86),
Investimenti in partecipazioni e in quote di minoranza di società consolidate,(2.386),86),
Investimenti in società consolidate; al netto delle disponibilità,,,
Investimenti in società consolidate; al netto delle disponibilità liquide nette apportate,(13.451),,
liquide nette apportate,(13.451),,
"Realizzo da disinvestimenti e altre variazioni di attività materiali,",,,
"Realizzo da disinvestimenti e altre variazioni di attività materiali, immateriali e partecipazioni",1.012,012,4.800
Variazione netta delle altre attività non correnti,23,,
Flusso di cassa netto da attività di investimento (B),(216.716),'16),(186.310)
Emissione di prestiti obbligazionari,491.643,,
Rimborsi di prestiti obbligazionari,(400.001),,
Rimborsi di finanziamenti a medio-lungo termine,(17.885),85),(212.500)
Variazione netta delle altre passività finanziarie correnti e non correnti,(3.833),33),(42.050)
Variazione netta delle attività finanziarie correnti e non correnti,(3.025),25),(426)
Flusso di cassa netto da attività di finanziamento (C),(24.743),43),(163.334)
FLUSSO DI CASSA NETTO DELL'ESERCIZIO (A+B+C),363.345,345,(435.589)
Disponibilità liquide e mezzi equivalenti all'inizio dell'esercizio,661.640,540,1.097.229
Disponibilità liquide e mezzi equivalenti alla fine dell'esercizio,1.024.985,985,661.640
