TOTALE DIRITTI CONCESSORI,3.859.574,(1.386.0,35) 2.47,539 14,44.091,91.220),15.928),3.987.730,(1.477.248),2.510,,
Altre attività immateriali,106.338,41) (78,54),.043,15.651,(9.255),(13),121.976,(41),(87.509),34,
Anticipi a fornitori,725,725,825,(128),1.422,,,,,,,
Diritto duso: altre imm. immat,52,08),413,(131),521,(239),,,,,,
TOTALE ALTRE ATTIVITÀ IMMATERIALI,107.584,41) (78.3,62),9.181,16.476,(9.386),(141),123.919,(41),(87.748),36,
TOTALE ATTIVITÀ IMMATERIALI,3.967.158,41) (1.464.3,97) 2.50,.720 16,50.567,0.606),16.069),4.111.649,(41),(1.564.996),2.546,
,,,,,,,,,,,,
31_,2020,VARI,ZIONE,1.12.2021,,,,,,,,
(mialiaia di euro),;,p,1 ,; ;,:,5 8,; 88,] 8,",",9,1 ;,; ;
DIRITTI CONCESSORI,,,,,,,,,,,,
Concessione aeroportuale diritti acquisti,2.167.966,(1.007.897),1.160.069,(45.477,2.167.966,(1.053.374),1114,,,,,
Concessione aeroportuale investimenti su infrastrutture,1.561.259,(285.546),1.275.713,105.074,(38.584,16.72,18,1.691.608,(332.661),1.358,,
TOTALE DIRITTI CONCESSORI,3.729.225,293.443),.435.782,105.074,(84.061,16.72,18,3.859.574,(1.386.035),2.473,,
Altre attività immateriali,94.346,(41),(71.823),22.482,11.958,(6.422,18,106.338,(41),(78.254),28,
Anticipi a fornitori,22.708,22.708,135,(21.75,(361),725,,,,,,
Diritto d'uso: altre imm. immat_,521,(108,521,(108),,,,,,,,
TOTALE ALTRE ATTIVITÀ IMMATERIALI,117.054,(41),(71.823),45.190,12.614,(6.530,(21.750,(343),107.584,(41),(78.362),29
TOTALE ATTIVITÀ IMMATERIALI,3.846.279,(41),.365.266),480.972,117.688,(90.591,(5.024,(325),3.967.158,(41),(1.464.397),2.502_
