,,,
3 Partecipazioni,,,
(migliaia di euro),31.12.2022,31.12.2021,VARIAZIONE
IIMPRESE COLLEGATE,,,
ISpea Engineering S.p.A.,5.544,6.712,(1.168
LLigabue Gate Gourmet Roma S.p.A. in fallimento,,,
5.544,6.712,(1.168),
JOINT VENTURE,,,
JUrbanv S.p.A,644,644,
644,644,,
ALTRE IMPRESE,,,
JAzzurra Aeroporti S.p.A.,12.543,12.543,
JAeroporto di Genova S.p.A.,697,697,
Is.A.CAL S.p.A.,,,
[consorzio CAIE,,,
[convention Bureau Roma e Lazio S.c.r.l,,,
13.242,13.242,,
TOTALE,19.430,19.954,(524)
