,,
.12 Fondi per benefici per dipendenti (quota no,n corrente e cO,'ente e corrente)
(migliaia di euro),2022,2022
VALORE INIZIALE FONDO TFR,15.185,
Costo corrente,136,136
Interessi passivi,423,423
Totale costi rilevati a conto economico,559,
Liquidazioni/utilizzi,(601),
Utili/perdite attuariali da variazioni nelle ipotesi demografiche,53,
Utili/perdite attuariali da variazioni nelle ipotesi finanziarie,(2.524),(2.524)
Effetto dell'esperienza passata,953,953
Totale utili/perdite attuariali rilevate nelle altre componenti del conto economico complessivo,(1.624),
VALORE FINALE FONDO TFR,13.519,
di cui:,,
quota non corrente,12.018,
quota corrente,1.501,
