,,,,
Relazione sulla gestione Bilancio con,onsolidato,lancio di Esercizio,Delibera,dell'Assemble
(migliaia di euro),31.12.2022,di cui correlate,31.12.2021,di cui correlate
Disponibilità liquide (A),(404,(411.640),,
Mezzi equivalenti a disponibilità liquide (B),(620.,(250.000),,
Altre attività finanziarie correnti (C),(57.8,(1.350),(3.676),(1.350
LIQUIDITA' (D=A+B+C),(1.082.8,(665.316),,
Debito finanziario corrente (inclusi gli strumenti di debito; ma esclusa la parte corrente del debito finanziario non corrente) (E),83,38.472,,
Parte corrente del debito finanziario non corrente (F),298,131,37.903,129
INDEBITAMENTO FINANZIARIO CORRENTE (G-E+F),382,76.375,,
INDEBITAMENTO FINANZIARIO CORRENTE NETTO (H=G+D),(700,(588.941),,
Debito finanziario non corrente (esclusi la parte corrente e gli Strumenti di debito),619,155,659.264,286
Strumenti di debito (J),1.273,1.602.646,,
Debiti commerciali e altri debiti correnti (K),,,,
INDEBITAMENTO FINANZIARIO NON CORRENTE (L=l+J+K),1.892,2.261.910,,
INDEBITAMENTO FINANZIARIO NETTO COME DA RACCOMANDAZIONE ESMA DEL 4 MARZO 2021 (M-H+L),1.191.,1.672.969,,
Altre attività finanziarie non correnti (N),(718),,,
INDEBITAMENTO FINANZIARIO NETTO (O=M+L),1.174.,1.672.251,,
