,,,,,,
Relazione sulla gestione Bil,ncio consolidate,Bilane,cio di Eserciz,0 Delit,bera dell'As,semble
Ricavi,,,,,,
RRicavi del 2022 sono stati suddivis,come di seguito es,posto; in ap,plicazione del,orincipio cc,ontabile IFR,5 15:
2099,9091,,,,,
(mialiaia di euro),Ricavi da contratti IFRS 15,Altri ricavi,Totale,Ricavi da contratti IFRS 15,Altri ricavi,Totale
AVIATION,,,,,,
Diritti aeroportuali,338.669,338.669,149.656,149.65,,
Infrastrutture centralizzate,9.845,9.845,6.193,6.19,,
Servizi di sicurezza,80.037,80.037,32.241,32.25,,
Altri,28.472,28.472,10.027,10.02,,
457.023,457.023,198.117,198.1,,,
Subconcessioni e utenze:,,,,,,
Immobiliari e utenze,7.183,42.102,49.285,6.271,31.041,37.31
Commorcia,100 515,100 515,32 360,32 36,,
Commerciali,100.515,100.515,32.360,32.36,,
6cz,66z,0,,,,
Parcheggi,21.663,21.663,10.970,10.97,,
Pubblicità,5.362,5.362,2.381,238,,
Altri,9.337,542,9.879,6.370,9.356,15.72
43.545,143.159,186.704,25.992,72.757,98.74,
Ricavi da gestione aeroportuale,500.568,143.159,643.727,224.109,72.757,296.86
Ricavi per servizi di costruzione,144.091,144.091,104.783,104.78,,
Altri ricavi operativi,1.050,18.969,20.019,433,231.413,231.84
TOTALE RICAVI,645.709,162.128,807.837,329.325,304.170,633.49
Tempistiche di trasferimento benilservizi:,,,,,,
Beni e servizi trasferiti lungo un arco temporal,192.132,132.281,,,,
Beni e servizi trasferiti in uno specifico momen,453.577,197.044,,,,
