,,,,
Relazione sulla gestione,Bilancio consolidato,Bilancio di Esercizio,rcizio Delibe,libera dell'Assembles
7.3 Costi per servizi,,,,
(migliaia di euro),2022,2021,,
Costi per manutenzioni,53,53.168,41.604,
Costi per rinnovo infrastrutture aeroportu,Jali,38,38.473,43.650
Costi per servizi esterni,10.€,10.648,16.600,
Costi per servizi di costruzione,117.2,117.222,88.632,
Pulizie e disinfestazioni,6.628,5.614,,
Prestazioni professionali,12,12.586,8.403,
Servizi antincendio,5.846,4.932,,
Altri costi,34,34.494,25.944,
Compensi ad amministratori e sindaci,1.389,945,,
