Valutazione derivati,1.046,16.958
Altri proventi,,
Interessi da clienti e da altri,70,
TOTALE PROVENTI FINANZIARI,4.259,17.486
Proventi finanziari del 2021 includevano la variazione posit,'a del fair value dei contratti di cros,currency swap
per la componente tasso di cambio euro/sterlina a copertur del 2022 tale variazione è stata negativa e viene quindi iscri,delle obbligazioni A4 emesse in ste ta tra gli oneri finanziari.,rline. Nel corso
Oneri finanziari,,
Oneri finanziari,,
(migliaia di euro),2022,2021
Oneri finanziari da attualizzazione del fondo rinnovo infrastrutture aeroportuali,1.223,(19
Interessi su finanziamenti a medio-lungo termine,8.924,8.76
Effetti dell'applicazione del metodo del costo ammortizzato,8.171,7.76
Altri oneri finanziari per interessi,16,
Totale oneri finanziari per interessi,52.499,51.245
Valutazione derivati,13.458,
Differenziali,14.021,11.60
Totale oneri su derivati,27.479,11.60
Oneri finanziari da attualizzazione benefici per i dipendenti,423,
Altri oneri,35,
Totale altri oneri,458,
TOTALE ONERI FINANZIARI,81.659,62.92
