Relazione sulla gest,ione,ilancio consolida,ato,Bilancic,di Esercizio,Delibe,era del,lAssemblea
Allegato 1 Elenco,Jelle part,tecipazioni,,,,,,
1,: ;,1,1,1 |,g,1 8,"| ; à ,",5 5 : | 1 1
CAPOGRUPPO,Fiumicino,,,,,,,
Aeroportl al Roma 5.p.A-,(Roma),Gescione aeroportuale,Euro,b2.224.(43,,,,
IMPRESE CONIRULLATE,Fiumicino,Aeroporti di Roma S.p.A,0o,Intoaral,,,,
(Roma) Fiumicino,Assistenza passeaaeri,ADR Ingegneria S.p.A.,,,,,,
FIl CaiC DP Innoanoria,(Roma) Fiumicino,a ridotta mobilità Coordinamento attività norroa lizzazione arandi,UP Aoronortidi Poma,Cill MicCy' Intoarale,,,,
ADR Ingegneria S.p.A,(Roma) Fiumicino,per realizzazione grandi opere aeroportuali Gestione della sosta,Euro,500.000,Aeroporti di Roma S.p.A,100,100,Integrale
AONFTuutllly 9,(Roma) Fiumicino,di parcheggi Attività edilizia,Euiu,Tjuu.UUU,CiupI ulromia @U.A,UU,TUU,Miley' alC
Aun aaliuluic @UA ADP cocurity,(Roma) Fiumicino,costruzione Servizi di controllo,Cuiu,J.UjU.UU oono,Ciupui ulromia @U.A AeronortidiPoma,UU 10,IUU 10,Miley' alC Inroarale
ADR security S.r.l,(Roma) Fiumicino,sicurezza,Euro,4U0.UUu,Aeroportl al Roma S.p.A,Fuu,T0u,Integrale
Fiumicino Energia S.r.L,Fiumicino (Poma,Produzione onoraia olottrica,Euro,741.795,Aeroporti di Roma S.p.A,100,100,Integrale
Leonardo Energia Società Consortile ar I,Fiumicino (Roma),Produzione eneraia elettrica,Euro,10.000,Aeroporti di Roma S.p.A,10,100,Integrale
Società Consortile ar(.,(Roma),energia elettrica,Euro,10.000,Fiumicino Energia S.r.L,,,
IMPRESE COLLEGATE,Flumicino Energla S.1.l,9u,,,,,,
Spea Engineering S.p.A.,Roma,Servizi di ingegneria,Euro,6.966.000,Aeroporti di Roma S.p.,20,Valutata con ilmetodo del,
"oped Enyuccn(ny J,.A Ligabue Gate Gourmet Doma cn in f3",romna Tessera (Vonozio,progettazione Catering aeroportuale,Cuiu Euro,0.Juu.uUu 103.200,Aciujui ulnomna #p. Aeroporti di Roma S.p.A,20,ncluuU Uc atrimonio netto Valutata al costo,
Roma S.p.A. in tall JOINT VENTURE,(Venezla),,,,,,,
UrbanV S.p.A.,Fiumicino (Roma),Advanced Air Mobility (AAM) e Urban Air Mobility (UAM),Euro,50.000,Aeroporti di Roma S.p.A,Valutata con ilmetodo del atrimonio netto,,
ALTRE PARTECIPAZIONI,,,,,,,,
Aeroporto di Genova S.p.A.,Genova Sestri,Gestione aeroportuale,Euro,7.746.900,Aeroporti di Roma S.p.A,15,Valutata al fair value,
Azzurra Aeroporti S.p.A,Roma,"Investimenti immobiliari, finanziari, ecc.",Euro,3.221.234,Aeroporti di Roma S.p.A,Valutata al fair value,,
SACAL S.pA,Lamezia Terme (Catanzaro),Gestione aeroportuale,Euro,23.920.556,Aeroporti di Roma S.p.A,"5,37",Valutata al fair value,
Consorzio Autostrade Italiane Energia,Roma,Approvvigionamento sul mercato elettrico,Euro,114.864,Aeroporti di Roma S.p.A,"1,08",Valutata al fair value,
Convention Bureau Roma & Lazio S.crl,Roma,Attività connessa turismo MICEI e turismo d'affari,Euro,133.000,Aeroporti di Roma S.p.A,quota (euro 1.000),Valutata al fair value,
