,,,,
Relazione sulla gestione Bilancio consolidato,Bilancio consolidato,cio di Esercizio,Delibera dell,l'Assemble
Conto economice,onomico,pmple,ssivc,9
(Euro),Note,2022,2021,
UTILE (PERDITA) DELLESERCIZIO,30.740.510,(44.867.618),,
Quota strumenti finanziari derivati di copertura cash flow hedge,ertura cash flow hedge,8.3,100.982.622,42.133.38
Effetto fiscale,(24.235.827),(10.112.013),,
"ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO RICLAS NEL CONTO ECONOMICO, AL NETTO DELL'EFFETTO FISCALE",DNOMICO COMPLESSIVO RICLASSE DELLEFFETTO FISCALE,76.746.795,32.021.374,
Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti,fondi per benefici ai dipendenti,5.12,852.548,(152.595)
Effetto fiscale,(204.720),36.720,,
Utili (perdite) da valutazione al fair value delle partecipazioni,lelle partecipazioni,5.3,(13.020.054),
"ALTRE COMPONENTI DEL CONTO ECONOMICO COMPLESSIVO CHE N SUCCESSIVAMENTE RICLASSIFICATE NEL CONTO ECONOMICO, AL NE DELL'EFFETTO FISCALE","DNOMICO COMPLESSIVO CHE NON NEL CONTO ECONOMICO, AL NET",1o,647.828,(13.135.929)
RICLASSIFICHE DELLE ALTRE COMPONENT DEL CONTO ECONOMICC COMPLESSIVO NEL CONTO ECONOMICO DELL'ESERCIZIO,NENTI DEL CONTO ECONOMICO ICO DELL'ESERCIZIO,8.3,4.883.296,3.223.896
TOTALE DELLE ALTRE COMPONENT DEL CONTO ECONOMICO COMPL NETTO DELL'EFFETTO FISCALE,DEL CONTO ECONOMICO COMPLES,82.277.919,22.109.341,
,,,,
