,,,,,,,,
Prospett del patri,tO @ mo,ell nio,e Va ne,ria tto,zio,ni,,
(Euro),p 1,: [,| 8i,h 1 8 5 Ilie,| 0 | 8 | 5 [ 8 9,0 [ 9  ;,I 9,p 1 :
SALDO AL 31 DICEMBRE 2020,62.224.743,12.461.960,667.389.496,(111.733.005),(27.591.189),521.256.615,(143.353.203),980.655.417
Utile (perdita) dell'esercizio,(44.867.618),(44.867.618,,,,,,
Altre componenti dell'utile complessivo: Quota efficace strumenti,35.245.270,(13.020.054),(115.875),22.109.34,,,,
"Quota efficace strumenti finanziari derivati di copertura cash flow hedge, al netto dell'effetto fiscale",35.245.270,35.245.27C,,,,,,
"dell'effetto fiscale Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti, al netto dell'effetto",(115.875),(115.875,,,,,,
fiscale Utili (perdite) da valutazione al,(13.020.054),(13.020.054,,,,,,
fair value delle partecipazioni tile Inordita)comnlocciuo,(13.020.054),(13.020.054,,,,,,
Utlle (peratca) complessivo dell'esercizio Doctinazionanerdita dollecercizio,35.245.270,020.054) (13.@,875) (115.,(44.867.618),(22.758.277,,,
dell'esercizio Destinazione perdita dell'esercizio,35.245.270,(13.020.054),(175.875) 17[7or,(44.867.618) 77[>,(22.758.277,,,
Altre variazioni,,,,,,,,
SALDO AL 31 DICEMBRE 2021,62.224.743,12.461.960,667.389.496,(76.487.735),(40.611.243),377.787.537,(44.867.618),957.897.140
Utile (perdita) dell'esercizio,30.740.510,30.740.51C,,,,,,
Altre componenti dell'utile complessivo:,81.630.091,647.828,82.277.919,,,,,
"Quota efficace strumenti finanziari derivati di copertura cash flow hedge, al netto dell'effetto fiscale",81.630.091,81.630.09,,,,,,
"Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti, al netto dell'effetto fiscale",647.828,647.828,,,,,,
Utili (perdite) da valutazione al fair value delle partecipazioni,,,,,,,,
Utile (perdita) complessivo dell'esercizio,81.630.091,647.828,30.740.510,113.018.429,,,,
Destinazione perdita dell'esercizio precedente,(44.867.618),44.867.618,,,,,,
Altre variazioni,,,,,,,,
