,,,,
Relazione sulla gestione Bilancio consolidato Bil,lato Bilancio di Esercizic,di Esercizio,Delibera del,LlAssemble
Rendiconto finanz,anziario,rio,,
(Euro),Note,Note,2022,2021
UTILE (PERDITA) DELLESERCIZIO,30.740.510,(44.867.618,,
Rettificato da:,,,,
Ammortamenti,5.1/,5.1/5.2,108.843.536,103.034.480
Accantonamenti al fondo rinnovo infrastrutture aeroportuali,5.13,56.637.073,65.914.9OC,
Oneri finanziari da attualizzazione fondi,1.459.331,23.346,,
Variazione altri fondi,(2.332.818),(3.903.065,,
Svalutazione (Rivalutazione) di attività finanziarie non correnti e partecipazioni,ecipazioni,1.156.040,,
Variazione netta delle (attività) passività per imposte (anticipate) differite,erite,22.518.134,(13.134.900,
Altri costi (ricavi) non monetari,13.580.447,11.795.097,,
Variazioni del capitale circolante e altre variazioni,355.312.075,(221.004.063,,
FLUSSO DI CASSA NETTO DA ATTIVITÀ OPERATIVA (A),587.914.328,(102.141.829,,
(12 922 029,(11 903 5G5,,,
Investimenti in attività materiali,5.1,(12.822.028),(11.883.565,
Investimentiin attivitaimmateria,(190.208.548),(114.817.638,,
Investimenti in attività immateriali,5.2,(190.208.548),(114.817.638,
Interventi di rinnovo infrastrutture aeroportua,(41.658 233),(48.774 208,,
Interventi di rinnovo infrastrutture aeroportuali,5.13,(41.658.233),(48.774.208,
(2 Zo5ooo,(on Occ0o,,,
"Realizzo da disinvestimenti e altre variazioni di attività materiali, immateriali e partec",teriali e partecipazioni,16.029.108,13.334.049,
Variazione netta delle altre attività non correnti,12.302,11.30,,
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI INVESTIMENTO (B),(231.032.399),(186.186.061,,
Emissione di prestiti obbligazionari,491.642.812,,,
Rimborsi di prestiti obbligazionari,(400.001.000,,,
Rimborsi di finanziamenti a medio-lungo termine,(17.884.615),(212.500.000,,
Variazione netta delle altre passività finanziarie correnti e non correnti,3.799.716),(42.462.593,,
Variazione netta delle attività finanziarie correnti e non correnti,(3.025.102),(425.753,,
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI FINANZIAMENTO (C),(24.709.433),(163.746.534,,
FLUSSO DI CASSA NETTO DELL'ESERCIZIO (A+B+C),332.172.496,(452.074.424,,
Disponibilità liquide nette e mezzi equivalenti all'inizio dell'esercizio,5.10,624.981.309,1.077.055.73,
Disponibilità liauide nette e mezzi eauivalenti alla fine dellesercizio,510,957153 805,624 981 309,
