Terreni e fabbricati,16.057,(389),15.668,1.372,(275),17.429,(664),16.7,,
Impianti e macchinari,81.663,(77.405),4.258,1.562,(2.894),178,82.847,(79.743),3.1C,
Attrezzature industriali e commerciali,15.169,(13.501),1.668,189,(572),415,15.706,(14.006),1.7C,
Altri beni,45.016,(33.064),11.952,5.612,(4.769),6.774,57.296,(37.727),19.5,
Immobilizzazioni in corso e acconti,9.965,9.965,4.017,(8.381),5.601,5.6,,,,
"Diritto duso su Immobili, impianti, macchinari ed altri beni",5.801,(1.894),3.907,70,(1.330),59),5.417,(2.829),2.58,
TOTALE ATTIVITÀ MATERIALI,173.671,(126.253),47.418,12.822,(9.840),(1.073),184.296,(134.969),49.33,
,,,,,,,,,,
31.12.2020,VARIAZ,IONE,31.12.2021,,,,,,,
(migliaia di euro),;,i8,9f,1,1,s 81,1e,;,i8,9f
Terreni e fabbricati,16.056,(228),15.828,(161),16.057,(389),15.6,,,
Impianti e macchinari,82.066,(69.998),12.068,163,(8.014),41,81.663,(77.405),4.25,
Attrezzature industriali e commerciali,14.483,(12.884),1.599,380,(666),355,15.169,(13.501),1.6,
Altri beni,37.909,(30.107),7.802,1.849,(3.359),5.660,45.016,(33.064),11.9,
Immobilizzazioni in corso e acconti,9.798,9.798,6.807,(6.640),9.965,9.9,,,,
"Diritto duso su Immobili, impianti, macchinari ed altri beni",4.791,(1.974),2.817,2.685,(1.402),(193),5.801,(1.894),3.9,
