Concessione aeroportuale diritti acquisiti,2.179.164,(1.046.230),1.132.934,(46.242),2.179.164,(1.092.472),1.086.692,,
Concessione aeroportuale investimenti su infrastrutture,1.635.939,(316.277),1.319.662,149.099,(44.369),(15.927),1.769.111,(360.646),1.408.46
TOTALE DIRITTI CONCESSORI,3.815.103,(1.362.507),2.452.596,149.099,(90.611),(15.927),3.948.275,(1.453.118),2.495.15
Altre attività immateriali,96.718,(70.911),25.807,14.007,(8.393),(13),110.712,(79.304),31.408
Anticipi a fornitori,18.905,18.905,27.102,(14.950),31.057,31.05,,,
TOTALE ALTRE ATTIVITÀ IMMATERIALI,115.623,(70.911),44.712,41.109,(8.393),(14.963),141.769,(79.304),62.465
TOTALE ATTIVITÀ IMMATERIALI,3.930.726,(1.433.418),2.497.308,190.208,(99.004),(30.890),4.090.044,(1.532.422),2.557.622
,,,,,,,,,
31.12.2020,lariazione,31.12.2021,,,,,,,
(migliaia di euro),;,i8,9f,:,1,9 8 1,;,i1,;f
Diritti concessori,,,,,,,,,
Concessione aeroportuale diritti acquisiti,2.179.164,(999.988),1179.176,(46.242),2.179.164,(1.046.230),1.132.93,,
Concessione aeroportuale investimenti su infrastrutture,1.537.067,(278.717),1.258.350,98.872,(37.578),18,1.635.939,(316.277),1.319.66
TOTALE DIRITTI CONCESSORI,3.716.231,(1.278.705),2.437.526,98.872,(83.820),18,3.815.103,(1.362.507),2.452.59
Altre attività immateriali,85.846,(65.299),20.547,10.848,(5.612),24,96.718,(70.911),25.807
Anticipi a fornitori,22.708,22.708,5.097,8.900),18.905,18.90,,,
TOTALE ALTRE ATTIVITÀ IMMATERIALI,108.554,(65.299),43.255,15.945,(5.612),(8.876),115.623,(70.911),44.712
TOTALE ATTIVITÀ IMMATERIAL,3.824 785,(1.344 004),"2,480,781","114,817",(89.432),"(8,858)","3 930.,726","(1433,418)","2,497 308"
