Relazione sulla gestione,Bilan,io cons,olidato,Bilanc,0 di Eserc,cizio,Delibera,ra dell'Ass,semblez
,,,,,,,,,
svalutazione del valore capitale) per effetto de Il dettaglio delle Partecipazie relativo valore di carico; è di,lella parte le perdite ni detenu eguito rip,cipazion registrat te al 31 ortato:,e in Spea e nell'eser icembre 2,"Engineerir cizio 022, con",g (possedu dicazione,Jta per della q,na quota ota posse,pari al 20 seduta e d,2% del lel
| V P,g,9,1 8i,11,Ze 1ia,1 1 @,; 6 H @ 8,88 5 9 8i ,; 5 5 3ai
IMPRESE CONTROLLATE,,,,,,,,,
ADR Assistance Srl,Fiumicino (Roma),euro,4.000.000,100%,10.826,2.256,4.000,,
ADR Tel S.p.A,Flumicino (Roma) Fiumicino,euro,600.000,600.000,600.000,99%,15.621,2.333,594
ADR MobllIty S.r.l,(Roma) Fiumicino,euro,1.500.000,10090,16.242,2.205,1.756,,
ADR Security Srl,(Roma) Fiumicino,euro,400.000,100%,4.352,2.640,500,,
Airport Cleaning S.rL,Fuiictnu (Roma),euro,1.500.000,1009,5.551,422,2000,,
ADR Ingegneria S.p.A,Fiumicino (Roma),euro,500.000,100%,3.764,943,1.500,,
ADR Infrastrutture S.p.A.,Fiumicino (Roma),euro,5.050.000,100%,14.863,514,12.200,,
Fiumicino Energia S.r.L,Fiumicino (Roma),euro,741.795,100%,12.787,512,11.941,,
Leonardo Energia Società Consortile ar.l,Fiumicino (Roma),euro,10.000,10%,268,,,,
IMPRESE COLLEGATE,,,,,,,,,
IMPKEJE CULLEGATE inahue Gafe Gourmef Poma,Taccer?,,,,,,,,
Ligabue Gate Gourmet Roma S.p.A. in inoa,Tessera Vonozi,euro,20.000,103.200,4.000,209,,,
Ligabue Gate Gourmet Roma S.p.A. in fallimento,Tessera (Venezia),euro,20.000,103.200,4.000,209,,,
Spea Engineering S.p.A,Venclid) Milano,euro,1.350.000,6.966.000,270.000,209,33.809,(6.820),5.544
TOTALE IMPRESE COLLEGATE,5.544,,,,,,,,
TOTALE IMPRESE COLLEGATE,5.544,,,,,,,,
JOINT VENTURE,,,,,,,,,
Urbanv S.p.A,Fiumicino (Roma),euro,50.000,50.000,30.000,60%,1.074,(426),900
TOTALE JOINT VENTURE,1.074,(426),900,,,,,,
ALTRE IMPRESE,,,,,,,,,
Azzurra Aeroporti S.p.A,Roma,euro,3.783.734,3.221.234,250.000,"7,77%",171.325,(7.415),12.543
Aeroporto di Genova SpA,Genova Sestri,euro,15.000,7.746.900,2.250,15%,6.457,872,697
S.ACAL S.p.A,Lamezia Terme (Catanzaro),euro,46.268,23.920.556,2.485,"5,37%",13.144,(838),
Consorzio Autostrade Italiane Energia,Roma,Euro,114.864,"1,08%",,,,,
Convention Bureau Roma Lazio Scrl,Roma,euro,133,133.000,quota uro 1.000),,,,
TOTALE ALTRE IMPRESE,13.242,,,,,,,,
TOTALE PARTECIPAZIONI,5a 178,,,,,,,,
