(migliaia di euro),8/ 4 88,; 81,[ 8 8,{ 8 2 [,i
31.12.2022,30.826,30.211,,,
31.12.2021,256.919,256.304,,,
5.10 Disponibilità liqu,Jide e mezzi e,quivalenti,ti,,
(migliaia di euro),31.12.2022,31.12,1.12.2021,Variazi,one
Depositi bancari e postali,372.5,596,381.600,(9.004,
Mezzi Equivalenti,620.,oo,250.000,370.O0C,
Denaro e valori in cassa,22,24,,,
Conti correnti di corrispondenza verso controllate,567,6.993,(4.426,,
TOTALE DISPONIBILITÀ LIQUIDE E MEZZI EQUIVALENTI,995.1,185,638.617,356.56E,
