,,,,
(migliaia di euro),31.12.2022,di cui correlate,31.12.2021,di cui correlate
Disponibilità liquide (A),(375.185),(2.567),(388.617),(6.993
Mezzi equivalenti a disponibilità liquide (B),(620.000),(250.000),,
Altre attività finanziarie correnti (C),(57.890),(1.350),(3.676),(1.350)
LIQUIDITA' (D-A+B+C) Debito finanziario corrente (inclusi,(1.053.075),(642.293),,
Debito finanziario corrente (inclusi gli strumenti di debito; ma esclusa la parte corrente del debito finanziario non corrente) (E),121.941,38.031,52.108,13.636
Hul| Cuitenle(E) Parte corrente del debito finanziario,298.600,574,37.758,56
INDEBITAMENTO FINANZIARIO CORRENTE (G-E+F,420.541,89.866,,
INDEBITAMENTO FINANZIARIO CORRENTE NETTO (H=G+D),(632.534),(552.427),,
Debito finanziario non corrente (esclusi la parte corrente gli Strumenti di debito),618.765,823,658.952,1.397
Strumenti di debito (J),1.273.005,1.602.646,,
Debiti commerciali e altri debiti correnti,,,,
INDEBITAMENTO FINANZIARIO NON CORRENTE (L-l+J+K),1.891.770,2.261.598,,
INDEBITAMENTO FINANZIARIO NETTO come da raccomandazione ESMA del 4 marzo 2021 (M-H+L),1.259.236,1.709.171,,
Altre attività finanziarie non correnti (N),(17.429),(718),,
INDEBITAMENTO FINANZIARIO NETTO (O-M+L),1.241.807,1.708.453,,
