,,,,,,
Relazione sulla gestione Bil,ancio consolidato,Bilancic,di Eserciz,Deli,Libera dellA,ssemble
5.1 Ricavi,,,,,,
Ricavi del 2022 sono stati suddivisi,come di seguito espc,sto; in appl,icazione del,orincipio,contabile IFF,S 15:
2022,2021,,,,,
(migliaia di euro),Ricavi da contratti IFRS 15,Altri ricavi,Totale,Ricavi da contratti IFRS 15,Altri ricavi,Totale
AVIATION,,,,,,
Diritti aeroportuali,338.669,338.669,149.656,149.65,,
Infrastrutture centralizzate,9.845,9.845,6.193,6.19,,
Servizi di sicurezza,80.037,80.037,32.241,32.24,,
Altri,28.475,28.475,10.000,10.00,,
457.026,457.026,198.090,198.09,,,
NUN AVIANIUN Cuhconcoccioni ArC,,,,,,
Immobiliari e utenze,5.455,31.372,36.827,4.635,26.029,30.66
10oCo,JUUC 10o CoC,CUU 70 Z50,Vpull 70,,,
Parcheaai,20.575,20.575,10.552,10.55,,
Pubblicità,5.260,5.260,2.365,2.36,,
Parcheggi,1.168,1.168,487,,,
Altri,16.772,2.605,19.377,12.546,2.004,14.55
28.655,155.058,183.713,20.033,70.943,90.97,
RICAVI DA GESTIONE AEROPORTUALE,485.681,155.058,640.739,218.123,70.943,289.06
RICAVI PER SERVIZI DI COSTRUZIONE,149.099,149.099,98.581,98.58,,
ALTRI RICAVI OPERATIVI,1.050,9.757,10.807,433,228.162,228.59
TOTALE RICAVI,635.830,164.815,800.645,317.137,299.105,616.24;
Tempistiche di trasferimento benilservizi:,,,,,,
Beni e servizi trasferiti lungo un arco temporale,179.198,118.191,,,,
Beni e servizi trasferiti in uno specifico momentc,456.632,198.946,,,,
