(migliaia di euro),9 9 1,: 1,0 1,1,5 6 2
Prestiti obbligazionari,(1.698.107),(266.357),(21.750),(565.250),(844.750
Finanziamenti a medio-lungo termine,(713.222),(51.581),(51.240),(339.948),(270.453
Derivati con fair value positivo,63.532,4.076,10.019,20.819,28.61€
Derivati con fair value negativo,(83.952),(83.952),,,
TOTALE,(2.431.749),(397.814),(62.971),(884.379),(1.086.585
7 Pcn,,,,,
31.12.2021,,,,,
(migliaia di euro),1 : 1,1 8,1,1 2,1 5 :
Prestiti obbligazionari,(1.755.005),(38.677),(284.578),(65.250),(1.366.500
Finanziamenti a medio-lungo termine,(716.760),(24.930),(47.049),(331.800),(312.981
Derivati con fair value positivo,1.945,(239),(347),169,2.362
Derivati con fair value negativo,(116.405),(7.941),(76.011),(12.851),(19.602
TOTALE,(2.586.225),(71.787),(407.985),(409.732),(1.696.721
