,,,,,,,,
Relazione sulla gestione,lancio cons-,isolidato,Bila,cio di Es,sercizio,Deliber,2 dell'Ass,semble
Rapporti commerciali e di nat,ura diversa,a,,,,,,
31.12.2022,22,202,31.12.2,021,202,,,
31.12.2022,22,202,31.12.25,021,202,,,
(mialiaia di,Attività Pas,assività,Picavi,Costi,Attivita,Passività,Picavi,cost
(migliaia di euro),Attività Pas,assività,Ricavi,Costi,Attività,Passività,Ricavi,Costi
IMPRESE CONTROLLANTI,,,,,,,,
Atlantla 5.p.A- Totaeraddorticon IMDRESE,26.689,621,94,(7831,75.722,185,241,
PUIAEE PrUnniCon 29 CONTROLLANTI,26.689,621,94,(783),75.722,185,241,(730
IMPRESE CONIROLLATE,,,,,,,,
ADR Assistance Srl,1.257,4.099,2.142,(23.561),648,3.486,1.553,(16.45
ADR Iel S.p.A,5.199,0.712,1.509 Tal,(29.(84) 914,470,1.5bu,1n4,(29.596
ADR Mobility Srl,5.016,355,25.210,(2.211),3.077,696,15.094,(2.312
ADR Security S.rl,1.733,11.618,4.014,(53.999),1.116,9.502,3.197,(37.59
Airport Cleaning S.rL,1.612,4.106,3.289,(22.815),1.001,3.385,2.350,(16.172
ADR Ingegneria S.p.A,977,10.632,1.154,(13.246),887,8.494,723,(11.039
ADRntrascruccure S.P.A- Cporcio,1.ouo 058,Oc.o/u 9 520,0u( 168,777u.col (28 380,Toc,Co.oJc 4 136,120,(o9.2u4 (10 o30
Leonardo Energia S.c.ar.,1.058,9.520,168,(28.380),10,4.136,(10.036,
Leurigiuu Cneiyid #..di Fiumicino Eneraia € rl (*),112,45,288,(25),30,,,
TOTALE RAPPORTI CON IMPRESE Contdoi,16.528 10,109.400,38.211,284.149),7.423,62.721,24.346,(192.193
CONTROLLATE IAADDECEcollegaT,,,,,,,,
IMPRESE COLLEGATE,,,,,,,,
Ligabue Gate Gourmet S.p.A in fall,482,968,482,968,,,,
Spea Engineering S.p.A.,74,1.157,133,74,1.443,43,(1.49,
TOTALE RAPPORTI CON IMPRESE,556,2.125,133,556,2.411,43,(1.499,
COLLEGATE,556,2.125,133,556,2.411,43,(1.499,
JOINT VENTURE,,,,,,,,
JOINT VENTURE,,,,,,,,
Urban V S.p.A.,,,,,,,,
urban V S.p.A,,,,,,,,
TOTALE RAPPORTI CON JOINT VENTURE,64,(41),,,,,,
PARTI CORRELATE,,,,,,,,
PARTI CORRELATE,,,,,,,,
Leonardo Energia S.carl (*),79,(6.78,,,,,,
Leonardo Energia S.car.l,79,(6.78,,,,,,
Fiumicino Energia Sr.L (),93,,,,,,,
Autostrade per l'Italia S.p.A (**),,,,,,,,
Autogrill Italia S.p.A,6.524,74,13.762,(129),1.509,85,3.614,(15-
Autostrade Tech Sp.A.,23,,,,,,,
Autostrade Tech S.pA.,23,,,,,,,
Consorzio Autostrade Italiane Energia,,,,,,,,
Retail Italia Network S.r.l,100,242,37,129,,,,
Retail Italia Network Sr.l,100,242,37,129,,,,
Telepass S.p.A.,,,,,,,,
"Casculesse "".P.A_ Macter€ r",,,,,,,,
nFidale Maccarace cociotà Aaricola So,,,,,,,,
Aeroporto Guglielmo Marconi di Bologna,,,,,,,,
""".p.A AD Movina S.p.",,,,,,,,
Amplia Infrastructures S.p.A. (già,,,,,,,,
(**) Pavimental S.p.A.),217,63,,,,,,
PTSCLAS S.p.A.,15,(15,,,,,,
Management Personnel Key,1.316,(2.486),483,(1.53C,,,,
TOTALE RAPPORTI CON PARTI CORRELATE,6.679,1.572,14.026,(2.708),1.839,656,3.996,(8.624
TOTALE,50.463,113.782,52.475,(287.681),85.540,65.973,28.626,(203.046
