,,,,,,,,
Relazione sulla gestione,Bilancio c,onsolidat,0 Bila,ncio di Es,sercizio,Delibe,ra dell'As,semble
Rapporti di natura finanzi,ria,,,,,,,
31.12,2022,202,31.12,2021,202,,,
(mialiaia di,Attività,Passività,Proventi,Oneri,Attività,Passività,Proventi,Oneri
29 IMPRESE CONTROLLATE,,,,,,,,
ADR Assistance SrL,2.965,173,,,,,,
ADR Tel S.p.A,13.877,20),10.931,,,,,
ADP Sec,5 970,2 213,,,,,,
ADP Mobilitu,3 51o,,,,,,,
ADR Mobility S.r.L,3.548,,,,,,,
Airport Cleaning S.rL,4.001,2.252,,,,,,
ADR Ingegneria S.p.A.,2.554,1.938,10,,,,,
ADR Infrastrutture S.p.A,13,145,5.055,56,,,,
Leonardo Energia S.c.ar.l.,63,25,,,,,,
Fiumicino Energia S.rl,9.000,,,,,,,
TOTALE RAPPORTI CON IMPRESE CONTROLLATE,2.567,39.428,236,(20),6.993,15.600,66,
IMPRESE CORRELATE,,,,,,,,
Spea Engineering S.p.A-,1.350,1.350,,,,,,
TOTALE RAPPORTI CON PARTI CORRELATE,1.350,1.350,,,,,,
TOTALE,3.917,39.428,236,(20),8.343,15.600,66,
