,,
Lettera agli Stakeholder,,
0,Guida alla Relazione Annuale Integrata 2022,10
CAPITOLO 1 Overview,12,
CAPITOLO 2 Strategia e modello di business,26,
CAPITOLO 3 Rischi e opportunità,42,
CAPITOLO 4 Governance,50,
CAPITOLO 5 Performance 2022,64,
CAPITOLO 6 Eventi successivi,148,
CAPITOLO 7 Prevedibile evoluzione della gestione,154,
CAPITOLO 8 Proposta dell'Assemblea degli Azionisti,158,
CAPITOLO 9 Dichiarazione consolidata di carattere Non Finanziario ai sensi del D.Lgs. 254/16,162,
lCiildi allune Cunisulludld Ul Cal alleie Tvun Fnianizlal(u ai sensi del D.Lgs. 254/16,162,
