,,,
Relazione sulla gestione Bilancio consolidato,di Esercizio,Delibera del,LlAssemble
5.2.2 Gestione economica consolidats,,,
TABELLA 18 Conto economico consolidato riclassificato,,,
Migliaia di euro,2021,Delta,Delta%
Ricavi da gestione aeroportuale di cui:,296.866,346.861,"116,89"
Ricavi aviation,198.117,258.906,"130,79"
Ricavi non aviation,98.749,87.955,"89,19"
Ricavi per servizi di costruzione,104.783,39.308,"37,59"
Altri ricavi operativi,231.846,(211.827),"(91,4%"
TOTALE RICAVI,633.495,174.342,"27,59"
Costi esterni gestionali,(134.327),(39.256),"29,29"
Costi totali dei servizi di costruzione,(101.830),(34.624),"34,09"
Canoni concessori,(10.034),(16.318),"162,69"
Costo del personale netto,(121.434),(52.138),"42,99"
COSlo Gel personale nello,7c1.404/,(22.58),"42,9"
(Accantonamenti) riassorbimenti fondi per rischi ed oneri,(4.573),6.343,"(138,7%"
(hcCaiiluniaiiecu qabuintinen runul Uei cu Unci Sn (,1.9iai,0.9+9,"190,"
TOTALE COSTI OPERATIVI NETTI,(372.198),(135.993),"36,59"
AACn ODEdaicLcora (Edin, 5o) 0c4 909,UJJJJj) 7no,Juij
MARGINE OPERATIVO LORDO (EBITDA),261.297,38.349,"14,79"
Ammortamenti; svalutazioni e ripristini di valore,(105.463),(6.180),"5,99"
Accantonamenti per rinnovi e altri stanziamenti rettificativi,(201.696),145.598,"(72,2%"
RISULTATO OPERATIVO (EBIT),(45.862),177.767,"(387,6%"
Proventi (oneri) finanziari,(62.161),(1.783),"2,99"
Quota dell'utile (perdita) di partecipazioni collegate contabilizzate in base almetodo del patrimonio netto,(1.385),(13),
RISULTATO PRIMA DELLE IMPOSTE DELLE ATTIVITÀ OPERATIVE IN FUNZIONAMENTO,(109.408),175.971,"(160,8%"
Imposte,71.450,(92.954),"(130,19"
RISULTATO NETTO ATTIVITÀ OPERATIVE IN FUNZIONAMENTO,(37.958),83.017,"(218,7%"
Risultato netto attività operative cessate,,,
UTILE (PERDITA) DELL'ESERCIZIO,(37.958),83.017,"(218,7%"
Utile (perdita) dell'esercizio di competenza di terzi azionisti,"(100,0%",,
UTILE (PERDITA) DELLESERCIZIO DI COMPETENZA DEL GRUPPO,(38.035),83.094,"(218,5%"
