,,,,
Relazione sulla gestione Bilancio consolidato,Bilancio consolidato,Bilancio di Esercizio,Delibera dell,('Assemble
TABELLA 22 Indebitamento finanziario netto consolidato,nziario netto consolidato,,,
lld 22 Iucullaicilu Hnianiziai[uiiellu CUnloullualu,nizlai[uieclu CUnloulualu,Cs, (s,
Vlyllala Passività finanziarienon coiran,9n55 892 036,JnsU= 2 261910,5e La (369 87,
Prestiti obbligazionari,1.273.005,1.521.416,(248.411,
Finanziamenti a medio-lungo termine,617.214,656.360,(39.146,
Strumenti finanziari derivati,81.230,(81.230,,
Altre passività finanziarie on corrent,2 904,,,
Altre attività finanziarie non correnti,(17.429),(718),7115 (16.,
INDEBITAMENTO FINANZIARIO NETTO NON CORRENTE,'TO NON CORRENTE,1.874.607,2.261.192,(386.5855
Passività finanziarie correnti,382.674,76.375,306.299,
Quota corrente di passività finanziarie a medio-lungo termine,ie a medio-lungo termine,298.764,37.903,260.86
Strumenti finanziari derivati,83.910,38.472,45.438,
Attività finanziarie correnti,(1.082.875),(665.316),(417.559,
Disponibilità liquide e mezzi equivalenti,nti,(1.024.985),(661.640),363.345
Altre attività finanziarie correnti,(57.890),(3.676),(54.2147,
INDEBITAMENTO FINANZIARIO NETTO CORRENTE,'TO CORRENTE,(700.201),(588.941),(111.260
INDEBITAMENTO FINANZIARIO NETTO,To,1.174.406,1.672.251,(497.845
