,,,
Relazione sulla gestione Bilancio consolidato,Bilancio di Esercizio,Delibera dell,'Assemble
TABELLA 23 Rendiconto finanziario consolidato,,,
Migliaia di euro,2022,2021,
UTILE (PERDITA) DELLESERCIZIO,45.059,(37.958,
Rettificato da:,,,
Ammortamenti,111.643,105.46,
Accantonamenti al fondo rinnovo infrastrutture aeroportuali,56.964,64.66,
Oneri finanziari da attualizzazione fondi,1.646,,
Variazione altri fondi,(2.598),(4.731,
Quota dell'utile (perdita) di partecipazioni collegate contabilizzate in base al metodc,etodo del patrimonio netto,1.398,1.385
Variazione netta delle (attività) passività per imposte (anticipate) differite,24.508,(12.552,
Altri costi (ricavi) non monetari,13.586,11.799,
Variazioni del capitale circolante e altre variazioni,352.598,(214.056,
FLUSSO DI CASSA NETTO DA ATTIVITÀ OPERATIVA (A),604.804,(85.945,
FLUSSO DI CASSA NETTO DA ATTIVITÀ OPERATIVA (A),604.804,(85.945,
Investimenti in attività materiali,(13.704),(12.418,
Mivesciniencl aCC(v(ldMnlacenlall,72./u4),Uc+1,
Iiivesclmencl (n acclvica (mnnlacenlalt,Tou.-0/),T7n.088,
Interventi di rinnovo infrastrutture aeroportuali,(41.080),(47.576,
Mncervencl @l ninnovo [ntrascruccure aeroponudll,141.U8u),T4o/0,
Investimenti in partecipazioni e in quote di minoranza di società consolidate,(2.386),,
17ves Ieicl pal Cpazluil quulC u anizd Ul Buclela CUnoulud,(c.j00),,
Investimenti in società consolidate; al netto delle disponibilità liquide nette apporta,portate,(13.451,
Realizz0 da disinvestimenti altre variazionidiattivita materiali immaterialie 0a,nartecinazion,012,
"Realizzo da disinvestimenti e altre variazioni di attività materiali, immateriali e parte",partecipazioni,1.012,4.80
Variazione netta delle altre attività non correnti,,,
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI INVESTIMENTO (B),(216.716),(186.310,
Emissione di prestiti obbligazionari,491.64,,
Rimborsi di prestiti obbligazionari,(400.001,,
Rimborsi di finanziamenti a medio-lungo termine,(17.885),(212.500,
Variazione netta delle altre passività finanziarie correnti e non correnti,(3.833),(42.050,
Variazione netta delle attività finanziarie correnti e non correnti,(3.025),(426,
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI FINANZIAMENTO (C),(24.743),(163.334,
FLUSSO DI CASSA NETTO DELL'ESERCIZIO (A+B+C),363.345,(435.589,
Disponibilità liquide e mezzi equivalenti all'inizio dell'esercizio,661.640,1.097.22,
Disponibilità liquide e mezzi equivalenti alla fine dell'esercizio,1.024.985,661.64C,
