,,,
Relazione sulla gestione Bilancio consolidato,Bilancio di Esercizio,Bilancio di Esercizio,Delibera dell'Assemble
TABELLA 35 Dettaglio investimenti dell'esercizio,,,
Milioni di euro,2022,,
Sistema aerostazioni est,"72,",,
Interventi su piste e piazzali,,,
Di cui principali:,,,
Sala di controllo unica (APOC),,,
Interventi su terminal e moli,"69,",,
Di cui principali:,,,
Terminal 3 ristrutturazione,"41,1",,
"Sviluppo impianti, sistemi ICT ed altri minori","26,",,
Di cui principali:,,,
Sistemi informativi,"17,6",,
Totale investimenti,173,,
Di cui,,,
Ultimati,"65,8",,
In corso,"107,3",,
Interventi di rinnovo,"41,",,
ToTale,214,,
