Relazione sulla gestione Bilancio consolidato,Bilancio di Esercizio Delibera del,,
società controllate sia delle controparti;,,,
Fransizione verso un'economia circolare Ittività 4.9 [ Gruppo presenta un piano per la gestione dei rifiuti he garantisce il massimo riutilizzo 0 riciclaggio al ter - nine dol ciclo divita conformemente all2 aerarchia dei,"Protezione e ripristino della biodiversità e degli ecosistemi Le attività 4.9, 4.15, 6.15, 6.17 presentano il criterio DNSH che fa riferimento all'Appendice D; pertanto è",sono previsti esplicitamente nei capitolati palto laccettazione del Codice Etico nei contratti con i fornitori e l'impegno dei fornitori ad applica - re le linee guida nei rapporti con altri subfornitori; d'ap -,"Competizione leale ADR, che opera in un mercato particolarme mentato e non concorrenziale; svolge le prs in modo conforme a tutte le leggi vigenti ir"
ne garanlisce (lMnlasslio HlullllzZO 0 Hlclclayylo al Lei- nine del ciclo di vita conformemente alla gerarchia dei ifiuti che garantisce conformità con il criterio DNSH: Ittività 5.5 el processo di raccolta e gestioni di rifiuti; questi,DNSH che fa riferimento all'Appendice D; pertanto è stata svolta un'analisi di verifica trasversale. Si fac - cia riferimento a quanto riportato nel criterio relativo all'uso sostenibile e protezione delle acque e delle risorse marine sopra presentato.,"Te le llnee gulaa niel TappOr Ll Con alll ( suuioitilloi , è stata promulgata nel corso del 2022 una speci - fica Policy sui Diritti Umani che mira ad aumen - tare la consapevolezza e garantire il rispetto dei diritti umani nell'ambito della sfera del Gruppo",in modo conforme a tutte le leggi vigenti ir concorrenza leale e richiede il rispetto dell salvaguardia della concorrenza da parte pendenti. Inoltre; la procedura di selezione incentiva la a incentivare la libera concorre
Jy CC a l UiiCieiila PU Un nischiati negli impianti di stoccaggio e trasferimen - 0 con altri rifiuti 0 materiali con proprietà diverse; in inea con le richieste del relativo criterio Ittività 6.15 e 6.17 Poiché le attività 6.15 e 6.17 non prevedono la presenza Ji rifiuti da costruzione e demolizione; il criterio DNSH,"Inoltre; per l'attività 6.15 sono stati verificati i piani per i servizi di manutenzione della vegetazione e per il di - serbo stradale; che prevedono misure di gestione delle specie invasive e la salvaguardia di eventuale fauna selvatica sui siti, che rispettano quanto dichiarato dalla seconda parte del criterio.","11d U= Jua VacEicu=Vayi Ca 1= intende integrare un modello di due diligence che permetta di identificare; prevenire; mitigare e affrontare gli impatti negativi sui diritti umani in maniera più puntuale. All'interno di questo quadro; si rammenta che sul sito www.adrit è presente il canale ""ADR Group Whistleblowing"" che indirizza Ua iatfaformao dadica Faccolta coanalazioni","Infine si segnala che ADR non è stato conc per violazione del diritto del lavoro 0 dei d ni, corruzione e tassazione e non è stato alcun caso trattato da un National Contac dell'OCSE, né è stato interrogato dal Busir Human Rights Resource Center (BHRRC)"
elativo all'obiettivo di Transizione verso un'economia sircolare si ritiene non applicabile. Prevenzione e riduzione dell'inquinamento,Garanzie minime di salvaguardia Il Gruppo ADR ha verificato il rispetto delle garan - zie minime di salvaauardia sociale con particolare,alla piattaforma dedicata di raccolta segnalazioni che consta nel principale strumento destinato a dipendenti 0 terze parti interessate a segnalare e fare richieste su possibili rischi 0 violazioni anche,9.3.5 Processo di calcolo indicatori e informaz contesto
"Ni riterio risulta non applicabile. Inoltre; non essendo Itilizzati policlorobifenili, il criterio si ritiene verificato. Ittività 4.15 Parte dell'impiantistica accessoria utilizzata dal Grup- 0 risulta essere antecedente; in termini di installazio - e, al periodo di applicazione della direttiva 2009/125/ CE al netto degli impianti di cogenerazione base_ Jurante il processo di acquisto viene tenuta in consi - lerazione la presenza di migliori tecnologie disponibili","zione, tassazione e concorrenza leale; è da intendersi come applicabile a tutte le attività economiche di ADR Lanalisi è stata condotta considerando l'ade - guatezza dei processi del Gruppo nell'identificare e prevenire possibili impatti negativi sulle quattro aree, considerando anche l'eventuale efficacia di azioni di mitigazione: Rispetto dei diritti umani (inclusi i diritti dei lavo - ratori)",Il Gruppo ha adottato politiche; sistemi di gestione; misu - re e programmi per garantire l'etica e la conformità nella lotta alla corruzione; con riferimento principale alla Policy Anticorruzione; al Sistema di Gestione per la prevenzione della corruzione secondo lo standard internazionale ISO 37001.2016 e al Codice Etico. Per maggiori informazioni si rimanda alla sezione 4.4 Etica e Compliance per quanto concerne la gestione interna della tematica; e alla sezione 5.9.3 Supply Chain per la verifica dei criteri anticorruzione,Security S.r.l Unipersonale; Airport Clear Unipersonale; Fiumicino Energia S.rL. Poichè la disclosure 2021 ha previsto una zione semplificata inerente la sola quota ammissibili (come previsto dal Regolamen che peraltro non includeva l'indicatore rel: OpEx; non saranno presentati dati compar allineamento con il periodo precedente; in disponibili.
"arte dell'impiantistica accessoria utilizzata dal Grup - 0 risulta essere antecedente; in termini di installazio - e, al periodo di applicazione della direttiva 2009/125/ CE al netto degli impianti di cogenerazione base. Jurante il processo di acquisto viene tenuta in consi - lerazione la presenza di migliori tecnologie disponibili","9  PF prevenire possibili impatti negativi sulle quattro aree, considerando anche l'eventuale efficacia di azioni di mitigazione: Rispetto dei diritti umani (inclusi i diritti dei lavo - ratori)",Anticorruzione; al Sistema di Gestione per la prevenzione della corruzione secondo lo standard internazionale ISO 37001.2016 e al Codice Etico. Per maggiori informazioni si rimanda alla sezione 4.4 Etica e Compliance per quanto concerne la gestione interna della tematica; e alla sezione 5.9.3 Supply Chain per la verifica dei criteri anticorruzione,zione semplificata inerente la sola quota ammissibili (come previsto dal Regolamen che peraltro non includeva l'indicatore rels OpEx; non saranno presentati dati compar allineamento con il periodo precedente; in disponibili.
"Ulhticicalu pei Lucll Fiuuv[ [iipiancl Valle Gelle CuII = iderazioni di cui sopra, si ritiene che l'impiantistica sia onforme alle richieste e che le scelte per nuove tec -",MrllrTea CuII [ Ffictpl | ElallV[ al DlN[LLl Umnlant Uel OlOudl Compact delle Nazioni Unite a cui aderisce; ADR si impegna a promuovere e rispettare i diritti umani e ad,Veisu[ iuiiluil Tassazione,Fatturato Irnovor ammiccihilelallineato alla taccc
"onforme alle richieste e che le scelte per nuove tec - ologie siano allineate a quanto richiesto dal criterio. Ittività 6.15 e 6.17. Per le attività relative al settore dei trasporti; vengono idottate misure per la mitigazione di rumore e vibra - ioni, se necessario. Inoltre; essendo adottate anche nisure per la riduzione del rumore; delle vibrazioni e lelle polveri durante i lavori di manutenzione; il crite - io si ritiene verificato.","impegna a promuovere e rispettare i diritti umani e ad assicurarsi di non essere complice in eventuali abusi. ADR considera il rispetto delle garanzie minime di sal- vaguardia sulla base dell'applicazione del Codice Etico, delle Policy Anticorruzione e di altri processi in essere in tutta la propria catena del valore. Nello specifico: il Codice Etico riconosce come imprescindibile il rispetto delle tematiche connesse alla so - cfanibilità dfrit  Ana ~ ci9 Nanarfo dallo","Il Gruppo ADR; che aderisce ad un regime di adempimento collaborativo; svolge le proprie attività aziendali in manie - ra conforme alle leggi ed ai regolamenti in materia fiscale aderendo al regime fiscale di adempimento collaborativo. La Strategia Fiscale del Gruppo ADR; approvata nel 2019, definisce gli obiettivi ed i principi adottati nella gestione della fiscalità ed è finalizzato all'implementazione di un sistema di controllo interno del rischio fiscale (Tax Control Framework) che sia pienamente rispondente agli stan- dard internazionali, condivisi in seno all'OCSE e fatti propri",Il turnover ammissibile/allineato alla tass calcolato come la parte del fatturato nett da prodotti e servizi associati alle attività ammissibililallineate alla tassonomia (nun divisa per il fatturato netto (denominatore al 31.12.2022. dati sono stati elaborati a p Profit & Loss Statement di Gruppo consoli in conformità allo IAS 1.82(a) Il numeratore del KPI turnover è costituito netti associati alle attività del Gruppo con
"Ittività 6.15 e 6.17. Per le attività relative al settore dei trasporti, vengono dottate misure per la mitigazione di rumore e vibra - ioni, se necessario. Inoltre; essendo adottate anche nicure nerl2 riduzione del rumore delle vibrazioni",ADR considera il rispetto delle garanzie minime di sal- vaguardia sulla base dell'applicazione del Codice Etico; delle Policy Anticorruzione e di altri processi in essere in tutta la propria catena del valore.,"collaborativo; svolge le proprie attività aziendali in manie - ra conforme alle leggi ed ai regolamenti in materia fiscale aderendo al regime fiscale di adempimento collaborativo. La Strategia Fiscale del Gruppo ADR; approvata nel 2019, definisce gli obiettivi ed i principi adottati nella gestione",Pu da prodotti e servizi associati alle attività ammissibililallineate alla tassonomia (nun divisa per il fatturato netto (denominatore al 31.12.2022. dati sono stati elaborati a p Drofit & LoCC Gtatemont di Grunno onco
