Relazion,azione sul,la gestior,Bilancic,cio conse,solidato,Bilanci,cio di Ese,izio,libera d,ellAss,semble,,,,,,,,,,,,,,,
IBELLA 59 KPI OpEx,,,,,,,,,,,,,,,,,,,,,,,,,,
1,p 5 9,; ; Ie,Criter 8 ù 1 1,rio per il c [ 8 8,"'io per il co , 8 8",er il contr [ 99,il contribl ; 8,ontributo 1 8,sostanzial 1 9,le 1,Le 1,1,; 8 1 0,; 8 1 0,; Ml,Cri ; 9 1,"teri per ""non 8 4 1 I",re un danno 1 8,nno significa,"cativo"" 1",6 =,5 1 9 1,"1 p 1 5 2 9 """,2 ;,1 f,1 5 91
AttIvIla economicne A. ATTIVITÀ AMMISSIBILI ALLA TASSONOMIA,€/000),%,2 0 %,4 2 %,4= %,4E %,4,%,%,%,%,%,%,%,2 0 SIN,SIN,42 SIN,SIN,S/N,IN,'N,SIN,,,,
A. ATTIVITÀ AMMISSIBILI ALLA TASSONOMIA A.1. Attività ecosostenibili (allineate alla Tassonomia),,,,,,,,,,,,,,,,,,,,,,,,,,
Trasmissione e distribuzione di energia elettrica,4.9,8.212,"11,5%",1009,0%,n/a,n/a,n/a,1/a,n/a,n/a,n/a,/a,n/a,n/a,"11,59",,,,,,,,,,
Distribuzione del teleriscaldamento/ teleraffrescamento,4.15,8.973,"12,6%",1009%,n/a,n/a,n/a,1/a,n/a,n/a,n/a,/a,n/a,n/a,"12,6%",,,,,,,,,,,
Infrastrutture per il trasporto ferroviario,6.14,1.424,29,1009%,n/a,n/a,n/a,/a,n/a,nla,nla,/a,n/a,n/a,2%,,,,,,,,,,,
Infrastrutture aeroportuali a basse emissioni di carbonio,6.17,1.065,"1,5%",100%,n/a,n/a,n/a,/a,n/a,nla,nla,1/a,n/a,n/a,"1,5%",,,,,,,,,,,
Acquisto e proprietà di edifici,24.068,"33,8%",1009,n/a,n/a,n/a,/a,n/a,n/a,n/a,1/a,n/a,n/a,"33,89",,,,,,,,,,,,
NCquld Piupi( OpEx delle attività economiche ecosostenibili,03 701,"J9,0/0 61 5o",1n006,J90 61 5o/,,,,,,,,,,,,,,,,,,,,,,
(allineate alla Tassonomia) (A.I) A.2 Attività ammisibili alla Tassonomia ma non,,,,,,,,,,,,,,,,,,,,,,,,,,
"ecosostenibili (attività non allineate alla Tassonomia) Costruzione, espansione e gestione di sistemi di",,,,,,,,,,,,,,,,,,,,,,,,,,
"raccolta, trattamento e fornitura di acqua Infrastrutture aeronortualiabasse emissioni di","3,0",,,,,,,,,,,,,,,,,,,,,,,,,
carbonio Acauisto e pronrietà diedifici,130 14 237,"0,2% 2006",,,,,,,,,,,,,,,,,,,,,,,,
OpEx delle attività ammissibili alla Tassonomia ma non ecosostenibili (attività non allineate alla Tassonomia) (A,17.072,24%,,,,,,,,,,,,,,,,,,,,,,,,
Tassonoma)(A.c) OpEx totale delle attività ammissibili alla Tassonomia (A.1+ A.2),60.814,"85,4%","61,59",,,,,,,,,,,,,,,,,,,,,,,
B. ATTIVITÀ NON AMMISSIBILI ALLA TASSONOMIA,,,,,,,,,,,,,,,,,,,,,,,,,,
OpEx totale delle attività ammissibili alla Tassonomia,10.359,"14,6%",,,,,,,,,,,,,,,,,,,,,,,,
TOTALE (A + B),71.173,100%,,,,,,,,,,,,,,,,,,,,,,,,
