Quadri,,,,,
Impiegati,,,,,
Operai,,,,,
TABELLA 65 Dipendenti appartenenti,categorie protette sul,totale dipendenti,,,
Rapporto,UdM,2022,2021,2020,2019
Totale categoria protetta/ Totale dipendenti,"1,8","2,4","2,4","2,5",
TABELLA 66 Dipendenti per categoria,professionale e genere,,,,
Genere,UdM,2022,2021,2020,2019
DIRIGENTI,"1,7","1,7",,,
Donne,"0,3","0,3",,,
Uomini,"1,3","1,4","1,5",,
QUADRI,"8,2","8,9","8,9","8,9",
Donne,"2,5","2,7","2,7",,
Uomini,"6,2","6,2",,,
IMPIEGATI,"55,2","55,-","55,4","55,1",
Donne,"25,1","24,5","24,5",24,
Uomini,"30,1","30,9","30,9","31,1",
OPERAI,"34,9","34,1","34,1","34,3",
Donne,"10,2","9,6","10,2",,
Uomini,24,"24,5","24,5",24,
