Donne,No,1.206,1.145,1.154,1.147
TEMPO DETERMINATO,No_,468,154,455,
Uomini,No.,235,188,,
Donne,No.,233,94,267,
TOTALE DIPENDENTI,No.,3.767,3.345,3.121,3.559
Totale Uomini,No.,2.328,2106,1.962,2.145
Totale Donne,No,1.439,1.239,1.159,1.414
ABELLA 62 Organico suddiviso per,ipo di contratto,,,,
Genere,UdM,2022,2021,2020,2019
Tipo di contratto: FULL TIME,No.,2.370,2.292,2.205,2.213
Uomo,No,1.738,1.704,1.610,1.62
Donna,No,632,588,595,59
Tipo di contratto: PART TIME,No.,1.397,1.053,916,1.346
Uomo,No,590,402,352,524
Donna,No,80,651,564,822
