,,,,,
Ore medie di formazione,UdM,2022,2021,2020,2019
Dirigenti,16,23,,,
Quadri,19,41,28,,
Impiegati,19,19,,,
Operai,19,12,,,
ABELLA 70 Indici infortunistici 2022 del,Gruppo ADR,,,,
Indici di infortunio,UdM,2022,2021,2020,2019
Numero di infortuni sul lavoro registrabili,126,62,212,,
Tasso di infortuni sul lavoro registrabili,"18,18","32,7","18,76","38,29",
Numero di infortuni sul lavoro con gravi 45 conseguenze,,,,,
Tasso di infortuni sul lavoro con gravi conseguenze,"0,25",,,,
Numero di decessi risultanti da infortuni sul lavoro,,,,,
Numero di infortuni in itinere46,43,29,58,,
