,,,,,,,
Relazione sulla gestione Bi,cio consolidato,Bilar,ncio di Es,ercizio,Delibe,ra dellAs,ssemble
9.4.2 Indicatori di perf,mance GRI,Amb,biente,,,,
TABELLA 71 Emissioni di CO2 del Grup,DR,,,,,,
"Emissioni CO,48",UdM,2022,2021,2020,2019,,
FCO,CIA,Totale,Totale,Totale,Totale,,
FCO,CIA,Totale,Totale,Totale,Totale,,
Emissioni totali di CO,ton,873.469,72.313,945.782,427.17550,395.82051,1.271.565
Emissioni dirette scope 1,ton,7.101,1.200,8.301,3.27553,3.98254,5.603
Emissioni indirette scope 2,ton,48.08556,48.085,48.40558,43.66259,57.402,
Emissioni indirette scope 361,ton,818.283,71.113,889.396,375.49662,348.17663,1.208.559
Di cui: item inclusi nel perimetro del Sustainal Linked Bond',ton,521.573,521.573,217.206,170.174,623.35,
Di cui: altre emissioni scope 3,ton,296.710,71.113,367.823,158.290,178.002,585.2C
