ATTIVITÀ NON CORRENTI,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Attività materiali,6.1,52.687,,50.898,
Diritti concessori,,2.510.482,,2.473.539,
Altre attività immateriali,,36.130,,29.181,
Attività immateriali,6.2,2.546.612,,2.502.720,
Partecipazioni,6.3,19.430,,19.954,
Altre attività finanziarie non correnti,6.4,17.429,,718,
Attività per imposte anticipate,6.5,39.775,,90.451,
Altre attività non correnti,6.6,461,,470,
Totale attività non correnti,,2.676.394,,2.665.211,
ATTIVITÀ CORRENTI,,,,,
Rimanenze,,5.801,,6.500,
Attività per lavori in corso su ordinazione,,322,,1.105,
Crediti commerciali,,207.945,7.059,184.597,2.195
Attività commerciali,6.7,214.068,7.059,192.202,2.195
Altre attività finanziarie correnti,6.4,57.890,1.35,3.676,1.35
Attività per imposte correnti,6.8,23.061,22.981,73.735,73.58
Altre attività correnti,6.9,36.658,560.0,265.341,491.0
Disponibilità liquide e mezzi equivalenti,6.1,1.024.985,,661.640,
Totale attività correnti,,1.356.662,31.95,1.196.594,77.616
TOTALE ATTIVITÀ,,4.033.056,31.95,3.861.805,77.616
