PATRIMONIO NETTO,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
PATRIMONIO NETTO DI PERTINENZA DEL GRUPPO,,,,,
Capitale sociale,,62.225,,62.225,
Riserve e utili portati a nuovo,,988.893,,942.781,
Utile (perdita) dell’esercizio,,45.059,,(38.035),
,,1.096.177,,966.971,
PATRIMONIO NETTO DI PERTINENZA DI TERZI,,,,,
Capitale sociale e riserve,,0,,2.718,
Utile (perdita) dell’esercizio,,0,,77,
,,0,,2.795,
Totale patrimonio netto,6.11,1.096.177,,969.766,
PASSIVITÀ,,,,,
PASSIVITÀ NON CORRENTI,,,,,
Fondi per benefici per dipendenti,6.12,12.018,,14.210,
Fondo rinnovo infrastrutture aeroportuali,6.13,157.430,,161.733,
Altri fondi per rischi ed oneri,6.14,16.481,,19.689,
Fondi per accantonamenti non correnti,,185.929,,195.632,
Prestiti obbligazionari,,1.273.005,,1.521.416,
Finanziamenti a medio-lungo termine,,617.214,,656.360,
Strumenti finanziari - derivati,,0,,81.230,
Altre passività finanziarie,,1.817,155.0,2.904,286.0
Passività finanziarie non correnti,6.15,1.892.036,155.0,2.261.910,286.0
Altre passività non correnti,6.16,2.951,358.0,986,
Totale passività non correnti,,2.080.916,513.0,2.458.528,286.0
PASSIVITÀ CORRENTI,,,,,
Fondi per benefici per dipendenti,6.12,1.501,,975,
Fondo rinnovo infrastrutture aeroportuali,6.13,76.548,,55.138,
Altri fondi per rischi ed oneri,6.14,5.998,,4.923,
Fondi per accantonamenti correnti,,84.047,,61.036,
Debiti commerciali,6.17,188.923,3.165,140.513,5.276
Passività commerciali,,188.923,3.165,140.513,5.276
Quota corrente passività finanziarie a medio-lungo termine,,298.764,131.0,37.903,129.0
Strumenti finanziari - derivati,,83.910,,38.472,
Passività finanziarie correnti,6.15,382.674,131.0,76.375,129.0
Passività per imposte correnti,6.8,13.486,,7.521,
Altre passività correnti,6.18,186.833,959.0,148.066,483.0
Totale passività correnti,,855.963,4.255,433.511,5.888
TOTALE PASSIVITÀ E PATRIMONIO NETTO,,4.033.056,4.768,3.861.805,6.174
