DIRITTI CONCESSORI,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Concessione aeroportuale,,,,,,,,,,,,
– diritti acquisti,2.167.966,0,(1.007.897),1.160.069,0.0,(45.477),0,0,2.167.966,0,(1.053.374),1.114.592
Concessione aeroportuale,,,,,,,,,,,,
– investimenti su infrastrutture,1.561.259,0,(285.546),1.275.713,105.074,(38.584),16.726,18,1.691.608,0,(332.661),1.358.947
TOTALE DIRITTI CONCESSORI,3.729.225,0,(1.293.443),2.435.782,105.074,(84.061),16.726,18,3.859.574,0,(1.386.035),2.473.539
Altre attività immateriali,94.346,(41),(71.823),22.482,11.958,(6.422),7,18,106.338,(41),(78.254),28.043
Anticipi a fornitori,22.708,0,0,22.708,135.0,0,(21.757),(361),725,0,0,725
Diritto d’uso: altre imm. immat.,0,0,0,0,521.0,(108),0,0,521,0,(108),413
TOTALE ALTRE ATTIVITÀ,,,,,,,,,,,,
IMMATERIALI,117.054,(41),(71.823),45.190,12.614,(6.530),(21.750),(343),107.584,(41),(78.362),29.181
TOTALE ATTIVITÀ,,,,,,,,,,,,
IMMATERIALI,3.846.279,(41),(1.365.266),2.480.972,117.688,(90.591),(5.024),(325),3.967.158,(41),(1.464.397),2.502.720
