(migliaia di euro) 31.12.2022,31.12.2021,VARIAZIONE,Unnamed: 0,Unnamed: 1,31.12.2022,Unnamed: 2,Unnamed: 3,Unnamed: 4,31.12.2021.1,Unnamed: 5,Unnamed: 6
IMPRESE COLLEGATE,,,,Valore,Quota,Quota non,,Valore,Quota,Quota non,
,,,,di Bilancio,Corrente,Corrente,,di Bilancio,Corrente,Corrente,
Spea Engineering S.p.A. 5.544,6.712,(1.168),(migliaia di euro),,,,,,,,
ALTRE ATTIVITÀ FINANZIARIELigabue Gate Gourmet Roma S.p.A. in fallimento 0,0.0,0,,,,,,,,,
,,,Derivati con fair value attivo,54.654,54.654,0,,1.900,1.900,,0.0
5.544,6.712,(1.168),,,,,,,,,
718JOINT VENTURE,,,Altre attività finanziarie,20.665,3.236,17.429,,2.494,1.776,,
,,,TOTALE ALTRE ATTIVITÀ,,,,,,,,
UrbanV S.p.A. 644,0.0,644,FINANZIARIE,75.319,57.890,17.429,,4.394,3.676,718,
644,0.0,644,,,,,,,,,
ALTRE IMPRESE,,,Derivati con fair value attivo,,,,,,,,
Azzurra Aeroporti S.p.A. 12.543,12.543,0,"Al 31 dicembre 2022, i derivati con fair value attivo ammontano a 54.654 mila euro, interamente riferibili ai cinque",,,,,,,,
,,,contratti di tipo Interest Rate Swap forward starting stipulati nel 2018 e nel 2021 per un nozionale complessivo di,,,,,,,,
Aeroporto di Genova S.p.A. 697,697.0,0,,,,,,,,,
,,,"400 milioni di euro, e ristrutturati nel primo semestre 2022, detenuti a copertura del rischio tasso di interesse. Al",,,,,,,,
S.A.CAL. S.p.A. 0,0.0,0,31 dicembre 2021 tale voce risultava pari a 1.900 mila euro e si riferiva a soli due contratti IRS stipulati nel 2021 con,,,,,,,,
Consorzio CAIE 1,1.0,0,nozionale complessivo di 100 milioni di euro. La variazione è attribuibile al significativo incremento dei tassi base,,,,,,,,
Convention Bureau Roma e Lazio S.c.r.l. 1,1.0,0,nel corso dell’esercizio.,,,,,,,,
,,,Per la descrizione delle caratteristiche di questi contratti si rinvia alla Nota 9.3 Gestione dei rischi finanziari.,,,,,,,,
13.242,13.242,0,,,,,,,,,
TOTALE 19.430,19.954,(524),Per le tecniche di valutazione e gli input utilizzati nella determinazione del fair value dei derivati si rinvia alla Nota,,,,,,,,
