Unnamed: 0,31.12.2021,Unnamed: 1,VARIAZIONE,Unnamed: 2,31..12..2022,6.7 Attività commerciali
,,,,Imposte Antic./,,"Le Attività commerciali, pari a 214.068 mila euro (192.202 mila euro al 31 dicembre 2021), comprendono:"
,,Accantonamenti,Rilasci,Diff. su Proventi/Oneri rilevati nel,,"– rimanenze, pari a 5.801 mila euro (6.500 mila euro al 31 dicembre 2021), costituite essenzialmente da materiali"
(migliaia di euro),,,,PN,,"di consumo, vestiario, ricambi, materiali di pulizia, carburanti, materiale telefonico, sistemi di telecomunicazio-"
IMPOSTE ANTICIPATE,,,,,,ne e materiali per l’edilizia;
Accantonamenti (utilizzi) del fondo rinnovo,,,,,,"– attività per lavori in corso su ordinazione, pari a 322 mila euro (1.105 euro al 31 dicembre 2021) costituite dai"
infrastrutture aeroportuali,32.872,3.355,(2.824),0,33.403,lavori in corso verso terzi di ADR Infrastrutture;
Accantonamenti a fondo svalutazione,,,,,,
magazzino,41.0,12,0,0,53,"– crediti commerciali, pari a 207.945 mila euro (184.597 mila euro al 31 dicembre 2021)."
Accantonamenti a fondo svalutazione,,,,,,
crediti,39.235,5,(526),0,38.714,
,,,,,,In dettaglio i crediti commerciali presentano la seguente composizione:
Costo ammortizzato e strumenti derivati,24.182,0,(25),(25.778),(1.621),
Fondi rischi e oneri,5.367,688,(1.162),0,4.893,
,,,,,,(migliaia di euro) 31.12.2022 31.12.2021 VARIAZIONE
Perdite fiscali e ACE,31.875,791,(24.840),0,7.826,
,,,,,,Crediti verso clienti 367.602 346.980 20.622
Altre,1.315,506,(561),(390),870,
,,,,,,Crediti verso impresa controllante 19 131 (112)
Totale Imposte Anticipate,134.887,5.357,(29.938),(26.168),84.138,
,,,,,,Altri crediti commerciali 4.503 4.004 499
IMPOSTE DIFFERITE COMPENSABILI,,,,,,
,,,,,,"Totale crediti commerciali, al lordo del fondo svalutazione 372.124 351.115 21.009"
Applicazione IFRIC 12,43.939,1.092,(1.145),0,43.886,Fondo svalutazione crediti (162.447) (164.775) 2.328
Altre,497.0,0,(20),0,477,Fondo svalutazione crediti per interessi di mora (1.732) (1.743) 11
,,,,,,Totale fondo svalutazione crediti (164.179) (166.518) 2.339
Totale Imposte Differite,44.436,1.092,(1.165),0,44.363,
,,,,,,TOTALE CREDITI COMMERCIALI 207.945 184.597 23.348
TOTALE IMPOSTE ANTICIPATE NETTE,90.451,4.265,(28.773),(26.168),39.775,
