"effetto del flusso monetario positivo delle attività operative, parzialmente compensato dai flussi monetari negativi",Unnamed: 0,PATRIMONIO NETTO,UTILE DELL’ESERCIZIO
degli investimenti e delle attività di finanziamento dell’esercizio.,,,
,(migliaia di euro),31.12.2022 31.12.2021,2022 2021
Per la disamina della riserva di liquidità del Gruppo si rinvia alla Nota 9.3.,VALORI DI BILANCIO ADR S.P.A,1.070.916 957.897,30.741 (44.868)
,Rilevazione nel Bilancio consolidato del patrimonio netto e del risultato,,
,"dell’esercizio delle partecipazioni consolidate, al netto della quota di",77.857 63.476,13.553 6.275
6.11 Patrimonio netto,competenza di Azionisti terzi,,
,Eliminazione del valore di carico delle partecipazioni consolidate,(35.020) (33.267),0 0
,Altre rettifiche1,(17.576) (18.340),765 635
(migliaia di euro) 31.12.2022 31.12.2021 VARIAZIONE,,,
Capitale sociale 62.225 62.225 0,VALORI DI BILANCIO CONSOLIDATO,1.096.177 969.766,45.059 (37.958)
Riserva legale 12.462 12.462 0,VALORE DI BILANCIO CONSOLIDATO (QUOTA DEL GRUPPO),1.096.177 966.971,45.059 (38.035)
,VALORE DI BILANCIO CONSOLIDATO (QUOTA DI TERZI),0 2.795,0 77
