Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,(110.000),dal 2020,14 anni,09.2031,Unnamed: 6,Unnamed: 7,31.12.2022,Unnamed: 8,31.12.2021,Unnamed: 9
Banca Europea per gli,Prestito BEI,,,,,"1,341%",,,,,,,,,
Investimenti (“BEI”),2016,150.0,119.423,119.329,EUR,II tranche annuale,amortising,15 anni,11.2034,,,,,,
,,,,,,(40.000),dal 2022,,,,,,,,
,,,,,,"0,761%",,,,Valore,Valore,,Valore,,
,,,,,,,,,,Fair Valuedi bilancio,di bilancio,Fair Value,di bilancio,,
,,,,,,I tranche (40.000),amortising dal 2020,14 anni,9.2031,(migliaia di euro),,,,,
,,,,,,"1,629%",,,,Tasso fisso Valuta,456.746,365.631,474.566,,468.605
Cassa Depositi e Prestiti (“CDP”),Prestito CDP 2016,150.0,137.692,137.613,EUR,"II tranche (30.000) 1,070% annuale",amortising dal 2022,15 anni,11.2034,Tasso variabile,199.891,203.816,199.678,,202.811
,,,,,,III tranche,amortising,,,,,,,,
,,,,,,"(80.000) 671.4161,263%",dal 2023,15 anni,3.2035,TOTALE FINATNasZsIAoMENTI A MEDIO-LUNGO TERMINE,656.637,569.446,674.244,,
