Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,(migliaia di euro) 3311..1122..22002222,ddii  ccuuii  ccoorrrreellaattee,31.12.2021,Unnamed: 7,di cui correlate
,,,,,,,Disponibilità liquide (A) (404.985),,(411.640),,
,31.12.2021,VARIAZIONI,,,31.12.2022,,,,,,
,,,,,,,Mezzi equivalenti a disponibilità liquide (B) (620.000),,(250.000),,
,,,,,,,Altre attività finanziarie correnti (C) (57.890),(1.350),(3.676),,(1.350)
,,,,,,,LIQUIDITA’ (D=A+B+C) (1.082.875),,(665.316),,
(migliaia di euro),,,,,,,,,,,
,,,,,,,"Debito finanziario corrente (inclusi gli strumenti di debito,",,,,
Debiti per locazioni,4.382 199,35,(1.512),(63),3.041,,ma esclusa la parte corrente del debito finanziario non 83.910,,38.472,,
,,,,,,,corrente) (E),,,,
quota corrente,1.478,,,,1.224,,Parte corrente del debito finanziario non corrente (F) 298.764,131,37.903,,129
quota non corrente,2.904,,,,1.817,,INDEBITAMENTO FINANZIARIO CORRENTE (G=E+F) 382.674,,76.375,,
,,,,,,,INDEBVITaAlMorEeN TO FINANZIARIO CORRENTE NETTO,,,,
,,,,,,,(H=G+Dd)i bilancio (700.201),,(588.941),,
"La voce Debiti per locazioni, che accoglie il valore attuale dei debiti derivanti dai contratti di locazione, si riduce di",,,,,,,,,,,
"1.341 mila euro per effetto sostanzialmente dei pagamenti dei canoni di locazione (-1.512 mila euro), parzialmente",,,,,,,Debito finanziario non corrente (esclusi la parte corrente e gli Strumenti di debito) (I) 619.031,155,659.264,,286
compensati dalle nuove accensioni dell’esercizio (199 mila euro).,,,,,,,,,,,
,,,,,,,StrumeNnutio dvie d ebito (J) 1.273.005,,1.602.646,,
,,,,,,,Accensioni,,,,
Derivati con fair value passivo,,,,,,,Debiti commerciali e altri debiti correnti (K) 0,,0,,
,,,,,,,INDEBITAMENTO FINANZIARIO NON CORRENTE,,,,
,,,,,,,(L=I+J+K) 1.892.036,,2.261.910,,
(migliaia di euro),,31.12.2022,31.12.2021,VARIAZIONE,,,Incrementi,,,,
,,,,,,,INDEBpITeArM aEttNuTaOl iFzI.NANZIARIO NETTO COME DA,,,,
Derivati con fair value passivo,,83.652,,119.468,(35.816),,RACCOfMinA. NDAZIONE ESMA DEL 4 MARZO 2021 (M=H+L) 1.191.835,,1.672.969,,
Rateo interessi,,258,,234,24,,Altre attività finanziarie non correnti (N) (17.429),,(718),,
TOTALE DERIVATI CON FAIR VALUE PASSIVO,,83.910,,119.702,(35.792),,INDEBITAMENTO FINANZIARIO NETTO (O=M+L) 1.672.251Rimborsi1.174.406,,,,
