(migliaia di euro),N20O2T2E,Unnamed: 0,2021,Unnamed: 1,Unnamed: 2
Canoni concessori,,26.352,,10.034,I Proventi finanziari del 2021 includevano la variazione positiva del fair value dei contratti di cross currency swap
Costi per godimento beni terzi,,2.584,,1.004,per la componente tasso di cambio euro/sterlina a copertura delle obbligazioni A4 emesse in sterline. Nel corso
,,,,,del 2022 tale variazione è stata negativa e viene quindi iscritta tra gli oneri finanziari.
Accantonamenti (utilizzi) al fondo rinnovo infrastrutture aeroportuali,,15.884,,17.085,
Accantonamenti (riassorbimenti) fondi per rischi ed oneri,,(1.770),,4.573,Oneri finanziari
Altri costi:,,,,,
Accantonamenti (riassorbimenti) per svalutazione crediti,,(866),,137.035,(migliaia di euro) 2022 2021
Imposte indirette e tasse,,5.335,,6.531,Oneri finanziari da attualizzazione del fondo
,,,,,rinnovo infrastrutture aeroportuali 1.223 (19)
Oneri diversi,,5.151,,4.495,
,,,,,Interessi su prestiti obbligazionari 35.243 34.407
TOTALE ALTRI COSTI OPERATIVI,,52.670,,180.757,
