Unnamed: 0,31.12.2021,Unnamed: 1,31.12.2022 2022,Unnamed: 2,31.12.2021.1,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Totale flussi Entro,,,,,,,,,,,,,,,,,
,contrattuali l’esercizio,,Da 1 a 2 anni,Da 2 a 5 anni,Più di 5 anni,,,,,,,,,,,,,
(migliaia di euro),,,,,,,,,,,,,,,,,,
Prestiti obbligazionari,(1.698.107) (266.357),,(21.750),(565.250),(844.750),,,,I,,,,Riceve un tasso,,(1.042),(12.078),227,10.809
,,,,,,"Mediobanca,",,,,,,,fisso in gbp del,,,,,
Finanziamenti a medio-lungo termine2,(713.222) (51.581),,(51.240),(339.948),(270.453),UniCredit,CCS,CF,C,2.2013,2.2023,325.019,"5,441% paga un tasso fisso in",Classe A4,(82.610),(69.152),(13.458),0.0
,,,,,,,,,Totale,,,,"Eur del 6,4%",,(83.652),(81.230),(13.231),10.809
Derivati con fair value positivo,63.532,4.076,10.019,20.819,28.618,,,,,,,,,,,,,
Derivati con fair value negativo3,(83.952) (83.952),,0,0,0,,,,,,,,,,,,,
TOTALE,(2.431.749) (397.814),,(62.971),(884.379),(1.086.585),,,,,,,,,,,,,
