Unnamed: 0,Unnamed: 1,Unnamed: 2,31.12.20221,2022,31.12.2021,2021
,,,Attività Passività,Ricavi Costi,Attività Passività,Ricavi Costi
10,(migliaia di euro)Rapporti commerciali e di natura diversaIMPRESE CONTROLLANTI,,,,,
,Atlantia S.p.A.,,23.239   628,94   (556),73.755   192,241   (730)
,Totale rapporti con imprese controllanti,,23.239 628,94 (556),73.755 192,241 (730)
Rapporti con parti,IMPRESE COLLEGATESpea Engineering S.p.A.,,74 1.201,132 0,74 1.490,51 (1.527)
,Ligabue Gate Gourmet S.p.A. in fall.,,482 968,0 0,482 968,0 0
correlate,Totale rapporti con imprese collegate JOINT VENTUREUrbanV S.p.A.,,556 11 2.169 64,132 11 (41) 0,556 0 2.458 0,51 0 (1.527)0
,Totale rapporti con Joint Venture,,11 64,11 (41),0 0,0 0
,PARTI CORRELATE,,,,,
,Leonardo Energia S.c.ar.l.(*),,0 0,0 0,0 0,79 (6.781)
,Fiumicino Energia S.r.l. (*),,0 0,0 0,0 0,93 0
,Telepass S.p.A.,,120 64,4 (181),83 18,5 (70)
,Autogrill Italia S.p.A.,,6.568 73,13.888  (129),1.540 85,3.741 (154)
,Autostrade per l’Italia S.p.A. (**),,0 0,0 (48),7 107,49 (170)
,Autostrade Tech S.p.A. (**),,0 0,0 (43),0 81,0 (162)
,Consorzio Autostrade Italiane Energia,,0 0,0 (83),0 0,0 (30)
,Retail Italia Network S.r.l.,,100 0,242 0,37 0,129 0
,Telepass Pay S.p.A.,,2 0,0 0,2 0,0 0
,Essediesse S.p.A. (**),,0 0,0 0,10 0,8 0
,Società Autostrada Tirrenica per azioni (**),,0 0,0 0,1 0,0 0
,K-Master S.r.l.,,0 168,0 (7),0 0,0 0
,Maccarese S.p.A. Società Agricola,,0 0,0 0,0 0,0 (8)
,Aeroporto Guglielmo Marconi di Bologna S.p.A.,,4 0,22 0,8 0,28 0
,Amplia Infrastructures S.p.A. (già Pavimental S.p.A.) (**),,0 0,0 (10),267 2.315,519 (825)
,PTSCLAS S.p.A.,,0 0,0 0,0 0,0 (2)
,Tecne Gruppo Autostrade per l’Italia S.p.A. (**),,0 0,0 0,0 20,0 (23)
,AD Moving S.p.A.,,0 0,0 0,0 0,0 (10)
,Key Management Personnel,,0 1.316,0 (2.486),0 483,0 (1.530)
,TOTALE RAPPORTI CON PARTI CORRELATE,,6.794 1.621,14.156 (2.987),1.955 3.109,4.651 (9.765)
,TOTALE,,30.600 4.482,14.393 (3.584),76.266 5.759,4.943 (12.022)
