Tipologia di servizi,Soggetto che ha erogato il servizio,Compensi 2022,Unnamed: 0,Unnamed: 1
,,,,"Con riferimento alla recuperabilità del valore di carico delle attività immateriali, ed in particolare dei Diritti conces-"
ADR S.P.A.,,,,
,,,,"sori, in assenza di indicatori specifici circa il rischio di mancato recupero del valore di carico delle attività immate-"
Revisione contabile,KPMG S.p.A.,,155.0,"riali, queste non sono state sottoposte ad impairment test."
Servizi di attestazione,KPMG S.p.A.,,22.0,"Si segnala che, nella prima frazione dell’esercizio 2022, la Capogruppo ADR ha incassato il credito per contributo"
Altri servizi (*),KPMG S.p.A.,,72.0,"pubblico pari a 219.237 mila euro, iscritto nel bilancio 2021, relativo al sussidio che il Governo italiano, tramite la leg-"
,,,,"ge 178/2020, ha assegnato agli aeroporti per compensare le perdite imputabili all’emergenza sanitaria da Covid-19"
Totale ADR S.p.A,,,249.0,
,,,,nel periodo 1° marzo -30 giugno 2020. In dettaglio:
SOCIETÀ CONTROLLATE DA ADR S.P.A.,,,,"– in data 8 marzo 2022, è stato incassato da ADR un importo di 109,6 milioni di euro, corrispondente ad un’antici-"
Revisione contabile,KPMG S.p.A.,,180.0,
,,,,pazione del 50% della richiesta di ristoro del danno;
Altri servizi (**),KPMG S.p.A.,,9.0,"– in data 20 maggio 2022, ADR ha incassato il saldo del 50%, a seguito dell’emanazione del Decreto Direttoriale"
Totale società controllate da ADR S.p.A,,,189.0,"prot. N. 34 del 5 maggio 2022, con il quale è stata accolta l’istanza di accesso al fondo per la compensazione"
TOTALE,,,438.0,"dei danni subiti dai gestori aeroportuali di cui alla L. 178/2020, presentata da ADR in data 26 gennaio 2022, con"
