Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Patrimonio netto e passività (Euro),Note,Unnamed: 7,31.12.2022,di cui correlate,31.12.2021,di cui correlate.1
,,,,,,,PATRIMONIO NETTO,,,,,,
finanziaria,,,,,,,Capitale sociale,,,62.224.743,,62.224.743,
,,,,,,,Riserve e utili portati a nuovo,,,977.950.316,,940.540.015,
,,,,,,,Utile (perdita) dell’esercizio,,,30.740.510,,(44.867.618),
Attività (Euro),Note,,31.12.2022,di cui correlate,31.12.2021,di cui correlate,,,,,,,
,,,,,,,TOTALE PATRIMONIO NETTO,,5.11,1.070.915.569,,957.897.140,
ATTIVITÀ NON CORRENTI,,,,,,,,,,,,,
,,,,,,,PASSIVITÀ,,,,,,
Attività materiali,,5.1,49.326.805,,47.417.819,,,,,,,,
,,,,,,,PASSIVITÀ NON CORRENTI,,,,,,
Diritti concessori,,,2.495.157.244,,2.452.595.958,,,,,,,,
,,,,,,,Fondi per benefici per dipendenti,,5.12,7.533.292,,8.792.342,
Altre attività immateriali,,,62.465.204,,44.712.100,,,,,,,,
,,,,,,,Fondo rinnovo infrastrutture aeroportuali,,5.13,152.493.633,,155.554.845,
Attività immateriali,,5.2,2.557.622.448,,2.497.308.058,,,,,,,,
,,,,,,,Altri fondi per rischi ed oneri,,5.14,16.481.165,,19.689.010,
Partecipazioni,,5.3,54.178.210,,52.949.250,,,,,,,,
,,,,,,,Fondi per accantonamenti non correnti,,,176.508.090,,184.036.197,
Altre attività finanziarie non correnti,,5.4,17.428.735,,717.757,,,,,,,,
,,,,,,,Prestiti obbligazionari,,,1.273.004.965,,1.521.415.789,
Attività per imposte anticipate,,5.5,43.184.750,,91.685.524,,,,,,,,
,,,,,,,Finanziamenti a medio-lungo termine,,,617.213.580,,656.359.626,
Altre attività non correnti,,5.6,432.768,,445.070,,,,,,,,
,,,,,,,Strumenti finanziari - derivati,,,0,,81.230.275,
TOTALE ATTIVITÀ NON CORRENTI,,,2.722.173.716,,2.690.523.478,,,,,,,,
,,,,,,,Altre passività finanziarie,,,1.551.533,823.431,2.591.603,1.397.042
ATTIVITÀ CORRENTI,,,,,,,,,,,,,
,,,,,,,Passività finanziarie non correnti,,5.15,1.891.770.078,823.431,2.261.597.293,1.397.042
Rimanenze,,,4.284.548,,4.424.273,,,,,,,,
,,,,,,,Altre passività non correnti,,5.16,2.950.847,358.282,985.957,
Crediti commerciali,,,213.943.024,20.788.519,184.281.748,9.513.996,,,,,,,
,,,,,,,TOTALE PASSIVITÀ NON CORRENTI,,,2.071.229.015,1.181.713,2.446.619.447,1.397.042
Attività commerciali,,5.7,218.227.572,20.788.519,188.706.021,9.513.996,,,,,,,
,,,,,,,PASSIVITÀ CORRENTI,,,,,,
Altre attività finanziarie correnti,,5.4,57.889.503,1.350.000,3.676.091,1.350.000,,,,,,,
,,,,,,,Fondi per benefici per dipendenti,,5.12,992.196,,614.790,
Attività per imposte correnti,,5.8,26.518.077,26.438.810,75.633.783,75.554.516,,,,,,,
,,,,,,,Fondo rinnovo infrastrutture aeroportuali,,5.13,72.517.863,,53.287.409,
Altre attività correnti,,5.9,30.825.799,3.235.945,256.918.676,471.549,,,,,,,
,,,,,,,Altri fondi per rischi ed oneri,,5.14,4.704.000,,3.530.948,
Disponibilità liquide e mezzi equivalenti,,5.1,995.184.651,2.567.433,638.617.202,6.993.394,,,,,,,
,,,,,,,Fondi per accantonamenti correnti,,,78.214.059,,57.433.147,
TOTALE ATTIVITÀ CORRENTI,,,1.328.645.602,54.380.707,1.163.551.773,93.883.455,,,,,,,
,,,,,,,Debiti commerciali,,5.17,232.218.552,112.464.914,159.859.657,65.490.363
TOTALE ATTIVITÀ,,,4.050.819.318,54.380.707,3.854.075.251,93.883.455,,,,,,,
,,,,,,,Passività commerciali,,,232.218.552,112.464.914,159.859.657,65.490.363
,,,,,,,Quota corrente passività finanziarie a medio-lungo,,,,,,
,,,,,,,termine,,,298.600.384,573.611,37.758.077,567.370
,,,,,,,Strumenti finanziari - derivati,,,83.910.234,,38.472.489,
,,,,,,,Altre passività finanziarie correnti,,,38.030.846,38.030.846,13.635.893,13.635.911
,,,,,,,Passività finanziarie correnti,,5.15,420.541.464,38.604.457,89.866.459,14.203.281
,,,,,,,Passività per imposte correnti,,5.8,10.682.564,,7.320.326,
,,,,,,,Altre passività correnti,,5.18,167.018.095,958.692,135.079.075,482.988
,,,,,,,TOTALE PASSIVITÀ CORRENTI,,,908.674.734,152.028.063,449.558.664,80.176.632
,,,,,,,TOTALE PASSIVITÀ E PATRIMONIO NETTO,,,4.050.819.318,153.209.776,3.854.075.251,81.573.674
