(migliaia di euro) 31.12.2022,Unnamed: 0,31.12.2021,Unnamed: 1,Variazione,Unnamed: 2,"mente all’esito dell’incasso dal vettore, e ii) all’IVA ritenuta recuperabile sulla base della normativa vigente.",Unnamed: 3
Crediti verso clienti,362.215,,341.898,,20.317,La tabella seguente indica la movimentazione del fondo svalutazione dei crediti commerciali:,
Crediti verso imprese controllate,13.803,,7.423,,6.380,,
Crediti verso impresa controllante,0,,123,,(123),,
Altri crediti commerciali,1.769,,957,,812,,
"TOTALE CREDITI COMMERCIALI,",,,,,,(migliaia di euro),
AL LORDO DEL FONDO,377.787,,350.401,,27.386,,
SVALUTAZIONE,,,,,,Fondo svalutazione crediti 164.377 (891) (1.374),162.112
,,,,,,Fondo svalutazione crediti,
Fondo svalutazione crediti,(162.112),,(164.377),,2.265,per interessi di mora 1.742 0 (10),1.732
,,,,,,TOTALE FONDO,
Fondo svalutazione crediti per 163.844 interessi di mora,(1.732),,(1.742),,10,SVALUTAZIONE CREDITI COMMERCIALI166.119 (891) (1.384),
TOTALE FONDO SVALUTAZIONE,,,,,,,
CREDITI,(163.844),,(166.119),,2.275,,
TOTALE CREDITI COMMERCIALI,213.943,,184.282,,29.661,Il decremento del fondo svalutazione crediti rispetto al 31 dicembre 2021 riflette essenzialmente l’utilizzo del fondo,
