(migliaia di euro),31.12.2022,Unnamed: 0,31.12.2021,Unnamed: 1,Variazione,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Capitale sociale,,62.225,,62.225,,0,,,,,
Riserva legale,,12.462,,12.462,,0,,,,,
Riserva sovrapprezzo azioni,,667.389,,667.389,,0,,,,,
Riserva da valutazione strumenti,,,,,,,(migliaia di euro),,,,
finanziari derivati di cash flow hedge,,5.144,,(76.486),,81.630,,,,,
,,,,,,,CAPITALE SOCIALE,,62.225,B,0.0
Riserva da utili (perdite) da,,,,,,,,,,,
valutazione al fair value di,,(40.611),,(40.611),,0,,,,,
partecipazioni,,,,,,,RISERVE,,,,
Altre riserve e utili portati a nuovo,,333.566,,377.786,,(44.220),Riserva legale 2,,12.462,"A, B",17.0
,,,,,,,3,,,,
Utile (perdita) dell’esercizio,,30.741,,(44.868),,75.609,Riserva sovrapprezzo azioni,,667.389,"A, B, C",667.389
,,,,,,,Riserva da valutazione strumenti finanziari,,,,
TOTALE PATRIMONIO NETTO,,1.070.916,,957.897,,113.019,"derivati di cash flow hedge, al netto degli",,5.144,B,0.0
