(migliaia di euro),2022,Unnamed: 0,collettivo oggetto di valutazione.
VALORE INIZIALE FONDO TFR,,9.407,
Costo corrente,0,,Ipotesi demografiche 2022/2021
,,,"Mortalità Tavole di mortalità ISTAT 2021 distinte per sesso, ridotte all’85%"
Interessi passivi,269,,
,,,"Inabilità Tavole INPS distinte per età e sesso, ridotte al 70%"
Totale costi rilevati a conto economico,,269,
,,,Pensionamento Raggiungimento dei requisiti minimi previsti dalle norme vigenti
Liquidazioni/utilizzi,,(312),
Utili/perdite attuariali da variazioni nelle ipotesi demografiche,(29),,Gli effetti sull’obbligazione per TFR derivanti da una modifica ragionevolmente possibile delle principali ipotesi
Utili/perdite attuariali da variazioni nelle ipotesi finanziarie,(1.449),,attuariali alla fine dell’esercizio sono di seguito indicati:
Effetto dell’esperienza passata,625,,
,,,"(migliaia di euro) Incremento dell’1,0% Decremento dell’1,0% Incremento del 0,25% Decremento del 0,25%"
Totale utili/perdite attuariali rilevate nelle altre componenti del conto,,,
economico complessivo,,(853),Tasso annuo di turnover 8.540 8.509
Altre variazioni,,14,Tasso di inflazione 8.586 8.465
VALORE FINALE FONDO TFR,,8.525,Tasso di attualizzazione 8.430 8.623
di cui:,,,
,,,La durata media ponderata delle obbligazioni per piani a benefici definiti per i dipendenti alla fine dell’esercizio è di
quota non corrente,,7.533,
,,,6 anni e il service cost previsto per il 2023 è pari a zero.
quota corrente,,992,
