(migliaia di euro),31.12.2022,Unnamed: 0,31.12.2021,Unnamed: 1,Variazione,Unnamed: 2,"sercizio, dei corrispondenti incassi dai vettori;"
Debiti verso fornitori,,101.003,,83.415,,17.588,– debito di 23.590 mila euro verso la Regione Lazio per l’IRESA (23.305 mila euro al 31 dicembre 2021). Trattasi
,,,,,,,"dell’imposta istituita dalla Regione Lazio a carico dei vettori, obbligati a pagarla alle società di gestione aero-"
Debiti verso imprese controllate,,109.265,,62.546,,46.719,"portuale le quali devono provvedere, analogamente alle addizionali precedentemente commentate, al periodi-"
,,,,,,,co riversamento alla Regione.
Debiti verso imprese controllanti,,583.0,,185.0,,398,
,,,,,,,"I Debiti per servizio antincendio sono pari a 826 mila euro in relazione al costo maturato nell’esercizio, al netto degli"
Risconti passivi,,5.983,,6.521,,(538),acconti pagati.
,,,,,,,"I Debiti verso il personale e Debiti verso istituti di previdenza e sicurezza sociale si incrementano, rispettivamente di"
Acconti e anticipi ricevuti,,15.385,,7.193,,8.192,"7.451 mila euro e di 2.041 mila euro, principalmente per effetto dell’accertamento delle competenze dell’anno corre-"
,,,,,,,late ai sistemi di incentivazione variabile e del progressivo azzeramento del ricorso ad ammortizzatori sociali.
TOTALE DEBITI COMMERCIALI,,232.219,,159.86,,72.359,
