(migliaia di euro),2022,2021,Unnamed: 0,Unnamed: 1,Unnamed: 2
Canoni concessori,26.352,10.034,,,
,,,Oneri finanziari,,
Costi per godimento beni terzi,1.926,640.0,,,
Accantonamenti (utilizzi) al fondo rinnovo infrastrutture aeroportuali,14.979,17.141,,,
,,,(migliaia di euro),2022.0,2021
Accantonamenti (riassorbimenti) fondi per rischi ed oneri,(1.899),3.582,ONERI FINANZIARI DA ATTUALIZZAZIONE DEL FONDO RINNOVO INFRASTRUTTURE AEROPORTUALI,1.191,(16)
Altri costi:,,,Interessi su prestiti obbligazionari,35.243,34.407
Accantonamenti per svalutazione crediti,(891),136.95,Interessi su finanziamenti a medio-lungo termine,8.924,8.761
Imposte indirette e tasse,5.258,6.458,Interessi a imprese controllate,2.0,1
Oneri diversi,1.747,1.548,Effetti dell’applicazione del metodo del costo ammortizzato,8.171,7.761
TOTALE ALTRI COSTI OPERATIVI,47.472,176.353,,,
