(migliaia di euro),2022,2021,Unnamed: 0,fair value dei contratti di cross currency swap per la componente tasso di cambio euro/sterlina a copertura delle
Proventi per interessi,,,,obbligazioni A4 emesse in sterline (illustrate nella Nota 5.15).
Interessi su depositi bancari e crediti finanziari,3.135,523.0,,
,,,,Tale variazione viene compensata da una componente del medesimo ammontare registrata tra gli utili su cambi
Interessi da imprese controllate,236.0,66.0,,che attiene alla riduzione del valore nominale delle obbligazioni in sterline.
Proventi su derivati,,,,La voce Differenziali include il saldo tra interessi attivi e passivi maturati sui già citati contratti di cross currency
Valutazione derivati,1.044,16.958,,"swap per 7.596 mila euro e la quota di riserva di cash flow hedge registrata a conto economico nel 2022, relativa al"
Altri proventi,,,,fair value negativo sia dei derivati interest rate swap forward starting sottoscritti nel 2015 ed oggetto di unwin-
Interessi da clienti e da altri,72.0,4.0,,ding (chiusura) nel giugno 2017 (pari a 2.006 mila euro) che dei derivati IRS forward starting sottoscritti nel 2016-
,,,,2017 ed oggetto di unwinding (chiusura) ad aprile 2021 (pari a 4.420 mila euro).
TOTALE PROVENTI FINANZIARI,4.487,17.551,,
